Data Table for Total Deaths - Kansas
Date generated: Mon Dec 05 2022 12:40:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Kansas,Nov 30 2022,9679
Kansas,Nov 23 2022,9657
Kansas,Nov 16 2022,9652
Kansas,Nov  9 2022,9626
Kansas,Nov  2 2022,9620
Kansas,Oct 26 2022,9607
Kansas,Oct 19 2022,9601
Kansas,Oct 12 2022,9590
Kansas,Oct  5 2022,9573
Kansas,Sep 28 2022,9554
Kansas,Sep 21 2022,9078
Kansas,Sep 14 2022,9069
Kansas,Sep  7 2022,9027
Kansas,Aug 31 2022,9011
Kansas,Aug 24 2022,8952
Kansas,Aug 17 2022,8940
Kansas,Aug 10 2022,8932
Kansas,Aug  3 2022,8926
Kansas,Jul 27 2022,8926
Kansas,Jul 20 2022,8924
Kansas,Jul 13 2022,8916
Kansas,Jul  6 2022,8913
Kansas,Jun 29 2022,8908
Kansas,Jun 22 2022,8899
Kansas,Jun 15 2022,8892
Kansas,Jun  8 2022,8891
Kansas,Jun  1 2022,8888
Kansas,May 25 2022,8883
Kansas,May 18 2022,8788
Kansas,May 11 2022,8683
Kansas,May  4 2022,8628
Kansas,Apr 27 2022,8588
Kansas,Apr 20 2022,8516
Kansas,Apr 13 2022,8457
Kansas,Apr  6 2022,8352
Kansas,Mar 30 2022,8250
Kansas,Mar 23 2022,8155
Kansas,Mar 16 2022,8048
Kansas,Mar  9 2022,7954
Kansas,Mar  2 2022,7928
Kansas,Feb 23 2022,7883
Kansas,Feb 16 2022,7844
Kansas,Feb  9 2022,7678
Kansas,Feb  2 2022,7533
Kansas,Jan 26 2022,7354
Kansas,Jan 19 2022,7255
Kansas,Jan 12 2022,7085
Kansas,Jan  5 2022,7030
Kansas,Dec 29 2021,6973
Kansas,Dec 22 2021,6924
Kansas,Dec 15 2021,6871
Kansas,Dec  8 2021,6779
Kansas,Dec  1 2021,6752
Kansas,Nov 24 2021,6656
Kansas,Nov 17 2021,6603
Kansas,Nov 10 2021,6579
Kansas,Nov  3 2021,6428
Kansas,Oct 27 2021,6332
Kansas,Oct 20 2021,6170
Kansas,Oct 13 2021,6140
Kansas,Oct  6 2021,6096
Kansas,Sep 29 2021,6039
Kansas,Sep 22 2021,5919
Kansas,Sep 15 2021,5797
Kansas,Sep  8 2021,5690
Kansas,Sep  1 2021,5577
Kansas,Aug 25 2021,5531
Kansas,Aug 18 2021,5450
Kansas,Aug 11 2021,5357
Kansas,Aug  4 2021,5259
Kansas,Jul 28 2021,5240
Kansas,Jul 21 2021,5191
Kansas,Jul 14 2021,5181
Kansas,Jul  7 2021,5159
Kansas,Jun 30 2021,5147
Kansas,Jun 23 2021,5130
Kansas,Jun 16 2021,5115
Kansas,Jun  9 2021,5093
Kansas,Jun  2 2021,5070
Kansas,May 26 2021,5053
Kansas,May 19 2021,5044
Kansas,May 12 2021,5021
Kansas,May  5 2021,4989
Kansas,Apr 28 2021,4969
Kansas,Apr 21 2021,4943
Kansas,Apr 14 2021,4922
Kansas,Apr  7 2021,4903
Kansas,Mar 31 2021,4883
Kansas,Mar 24 2021,4857
Kansas,Mar 17 2021,4811
Kansas,Mar 10 2021,4777
Kansas,Mar  3 2021,4748
Kansas,Feb 24 2021,4679
Kansas,Feb 17 2021,4504
Kansas,Feb 10 2021,4295
Kansas,Feb  3 2021,3905
Kansas,Jan 27 2021,3730
Kansas,Jan 20 2021,3583
Kansas,Jan 13 2021,3373
Kansas,Jan  6 2021,3011
Kansas,Dec 30 2020,2736
Kansas,Dec 23 2020,2499
Kansas,Dec 16 2020,2251
Kansas,Dec  9 2020,1946
Kansas,Dec  2 2020,1682
Kansas,Nov 25 2020,1505
Kansas,Nov 18 2020,1329
Kansas,Nov 11 2020,1217
Kansas,Nov  4 2020,1089
Kansas,Oct 28 2020,1009
Kansas,Oct 21 2020,955
Kansas,Oct 14 2020,840
Kansas,Oct  7 2020,725
Kansas,Sep 30 2020,680
Kansas,Sep 23 2020,622
Kansas,Sep 16 2020,587
Kansas,Sep  9 2020,499
Kansas,Sep  2 2020,461
Kansas,Aug 26 2020,442
Kansas,Aug 19 2020,415
Kansas,Aug 12 2020,396
Kansas,Aug  5 2020,371
Kansas,Jul 29 2020,348
Kansas,Jul 22 2020,318
Kansas,Jul 15 2020,303
Kansas,Jul  8 2020,288
Kansas,Jul  1 2020,277
Kansas,Jun 24 2020,261
Kansas,Jun 17 2020,247
Kansas,Jun 10 2020,239
Kansas,Jun  3 2020,226
Kansas,May 27 2020,213
Kansas,May 20 2020,202
Kansas,May 13 2020,188
Kansas,May  6 2020,164
Kansas,Apr 29 2020,134
Kansas,Apr 22 2020,112
Kansas,Apr 15 2020,77
Kansas,Apr  8 2020,36
Kansas,Apr  1 2020,10
Kansas,Mar 25 2020,3
Kansas,Mar 18 2020,1
Kansas,Mar 11 2020,0
Kansas,Mar  4 2020,0
Kansas,Feb 26 2020,0
Kansas,Feb 19 2020,0
Kansas,Feb 12 2020,0
Kansas,Feb  5 2020,0
Kansas,Jan 29 2020,0
