Data Table for Total Deaths - Missouri
Date generated: Mon Dec 05 2022 12:46:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Missouri,Nov 30 2022,22038
Missouri,Nov 23 2022,22001
Missouri,Nov 16 2022,21959
Missouri,Nov  9 2022,21928
Missouri,Nov  2 2022,21881
Missouri,Oct 26 2022,21831
Missouri,Oct 19 2022,21775
Missouri,Oct 12 2022,21747
Missouri,Oct  5 2022,21666
Missouri,Sep 28 2022,21606
Missouri,Sep 21 2022,21575
Missouri,Sep 14 2022,21539
Missouri,Sep  7 2022,21500
Missouri,Aug 31 2022,21435
Missouri,Aug 24 2022,21345
Missouri,Aug 17 2022,21298
Missouri,Aug 10 2022,21233
Missouri,Aug  3 2022,21140
Missouri,Jul 27 2022,21080
Missouri,Jul 20 2022,21018
Missouri,Jul 13 2022,20996
Missouri,Jul  6 2022,20956
Missouri,Jun 29 2022,20903
Missouri,Jun 22 2022,20831
Missouri,Jun 15 2022,20823
Missouri,Jun  8 2022,20809
Missouri,Jun  1 2022,20770
Missouri,May 25 2022,20635
Missouri,May 18 2022,20605
Missouri,May 11 2022,20569
Missouri,May  4 2022,20547
Missouri,Apr 27 2022,20498
Missouri,Apr 20 2022,20429
Missouri,Apr 13 2022,20329
Missouri,Apr  6 2022,20160
Missouri,Mar 30 2022,20143
Missouri,Mar 23 2022,20037
Missouri,Mar 16 2022,19847
Missouri,Mar  9 2022,19513
Missouri,Mar  2 2022,19260
Missouri,Feb 23 2022,18651
Missouri,Feb 16 2022,18545
Missouri,Feb  9 2022,18185
Missouri,Feb  2 2022,17807
Missouri,Jan 26 2022,17344
Missouri,Jan 19 2022,17003
Missouri,Jan 12 2022,16751
Missouri,Jan  5 2022,16445
Missouri,Dec 29 2021,16200
Missouri,Dec 22 2021,15999
Missouri,Dec 15 2021,15828
Missouri,Dec  8 2021,15655
Missouri,Dec  1 2021,13104
Missouri,Nov 24 2021,13021
Missouri,Nov 17 2021,12913
Missouri,Nov 10 2021,12825
Missouri,Nov  3 2021,12689
Missouri,Oct 27 2021,12531
Missouri,Oct 20 2021,12432
Missouri,Oct 13 2021,12295
Missouri,Oct  6 2021,12166
Missouri,Sep 29 2021,11968
Missouri,Sep 22 2021,11783
Missouri,Sep 15 2021,11509
Missouri,Sep  8 2021,11314
Missouri,Sep  1 2021,11101
Missouri,Aug 25 2021,10863
Missouri,Aug 18 2021,10615
Missouri,Aug 11 2021,10446
Missouri,Aug  4 2021,10237
Missouri,Jul 28 2021,10070
Missouri,Jul 21 2021,9953
Missouri,Jul 14 2021,9870
Missouri,Jul  7 2021,9789
Missouri,Jun 30 2021,9729
Missouri,Jun 23 2021,9669
Missouri,Jun 16 2021,9642
Missouri,Jun  9 2021,9609
Missouri,Jun  2 2021,9543
Missouri,May 26 2021,9486
Missouri,May 19 2021,9401
Missouri,May 12 2021,9254
Missouri,May  5 2021,9214
Missouri,Apr 28 2021,9126
Missouri,Apr 21 2021,9056
Missouri,Apr 14 2021,8997
Missouri,Apr  7 2021,8877
Missouri,Mar 31 2021,8854
Missouri,Mar 24 2021,8785
Missouri,Mar 17 2021,8701
Missouri,Mar 10 2021,8635
Missouri,Mar  3 2021,8481
Missouri,Feb 24 2021,8235
Missouri,Feb 17 2021,7824
Missouri,Feb 10 2021,7526
Missouri,Feb  3 2021,7415
Missouri,Jan 27 2021,7029
Missouri,Jan 20 2021,6755
Missouri,Jan 13 2021,6425
Missouri,Jan  6 2021,6067
Missouri,Dec 30 2020,5697
Missouri,Dec 23 2020,5440
Missouri,Dec 16 2020,4942
Missouri,Dec  9 2020,4512
Missouri,Dec  2 2020,4129
Missouri,Nov 25 2020,3829
Missouri,Nov 18 2020,3508
Missouri,Nov 11 2020,3345
Missouri,Nov  4 2020,3118
Missouri,Oct 28 2020,2902
Missouri,Oct 21 2020,2668
Missouri,Oct 14 2020,2481
Missouri,Oct  7 2020,2251
Missouri,Sep 30 2020,2088
Missouri,Sep 23 2020,1963
Missouri,Sep 16 2020,1793
Missouri,Sep  9 2020,1727
Missouri,Sep  2 2020,1602
Missouri,Aug 26 2020,1503
Missouri,Aug 19 2020,1454
Missouri,Aug 12 2020,1374
Missouri,Aug  5 2020,1313
Missouri,Jul 29 2020,1252
Missouri,Jul 22 2020,1172
Missouri,Jul 15 2020,1131
Missouri,Jul  8 2020,1080
Missouri,Jul  1 2020,1043
Missouri,Jun 24 2020,1008
Missouri,Jun 17 2020,922
Missouri,Jun 10 2020,866
Missouri,Jun  3 2020,838
Missouri,May 27 2020,789
Missouri,May 20 2020,744
Missouri,May 13 2020,657
Missouri,May  6 2020,541
Missouri,Apr 29 2020,424
Missouri,Apr 22 2020,299
Missouri,Apr 15 2020,201
Missouri,Apr  8 2020,107
Missouri,Apr  1 2020,24
Missouri,Mar 25 2020,9
Missouri,Mar 18 2020,1
Missouri,Mar 11 2020,0
Missouri,Mar  4 2020,0
Missouri,Feb 26 2020,0
Missouri,Feb 19 2020,0
Missouri,Feb 12 2020,0
Missouri,Feb  5 2020,0
Missouri,Jan 29 2020,0
