Data Table for Weekly Case Trends - Kansas
Date generated: Mon Dec 05 2022 12:40:53 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Kansas,Nov 30 2022,3429,0
Kansas,Nov 23 2022,2922,0
Kansas,Nov 16 2022,2475,0
Kansas,Nov  9 2022,2702,0
Kansas,Nov  2 2022,2388,0
Kansas,Oct 26 2022,2087,0
Kansas,Oct 19 2022,2641,0
Kansas,Oct 12 2022,2849,0
Kansas,Oct  5 2022,1632,0
Kansas,Sep 28 2022,2780,0
Kansas,Sep 21 2022,2708,0
Kansas,Sep 14 2022,4259,0
Kansas,Sep  7 2022,4401,0
Kansas,Aug 31 2022,5734,0
Kansas,Aug 24 2022,5034,0
Kansas,Aug 17 2022,5528,0
Kansas,Aug 10 2022,6340,0
Kansas,Aug  3 2022,6732,0
Kansas,Jul 27 2022,7491,0
Kansas,Jul 20 2022,7628,0
Kansas,Jul 13 2022,7367,0
Kansas,Jul  6 2022,5380,0
Kansas,Jun 29 2022,5022,0
Kansas,Jun 22 2022,4146,0
Kansas,Jun 15 2022,3938,0
Kansas,Jun  8 2022,4654,0
Kansas,Jun  1 2022,3375,0
Kansas,May 25 2022,2995,0
Kansas,May 18 2022,4558,0
Kansas,May 11 2022,2199,0
Kansas,May  4 2022,1987,0
Kansas,Apr 27 2022,2152,0
Kansas,Apr 20 2022,1023,0
Kansas,Apr 13 2022,655,0
Kansas,Apr  6 2022,211,0
Kansas,Mar 30 2022,488,0
Kansas,Mar 23 2022,535,0
Kansas,Mar 16 2022,838,0
Kansas,Mar  9 2022,1364,0
Kansas,Mar  2 2022,2573,0
Kansas,Feb 23 2022,3483,0
Kansas,Feb 16 2022,11765,0
Kansas,Feb  9 2022,10027,0
Kansas,Feb  2 2022,29305,0
Kansas,Jan 26 2022,49868,0
Kansas,Jan 19 2022,78584,0
Kansas,Jan 12 2022,31698,0
Kansas,Jan  5 2022,29860,0
Kansas,Dec 29 2021,13957,0
Kansas,Dec 22 2021,12136,0
Kansas,Dec 15 2021,11164,0
Kansas,Dec  8 2021,12514,0
Kansas,Dec  1 2021,8646,0
Kansas,Nov 24 2021,8199,0
Kansas,Nov 17 2021,7842,0
Kansas,Nov 10 2021,6801,0
Kansas,Nov  3 2021,5435,0
Kansas,Oct 27 2021,5865,0
Kansas,Oct 20 2021,5516,0
Kansas,Oct 13 2021,5922,0
Kansas,Oct  6 2021,6566,0
Kansas,Sep 29 2021,6943,0
Kansas,Sep 22 2021,8199,0
Kansas,Sep 15 2021,10816,0
Kansas,Sep  8 2021,9675,0
Kansas,Sep  1 2021,10801,0
Kansas,Aug 25 2021,9930,0
Kansas,Aug 18 2021,7480,0
Kansas,Aug 11 2021,11790,0
Kansas,Aug  4 2021,4242,0
Kansas,Jul 28 2021,4686,0
Kansas,Jul 21 2021,3021,0
Kansas,Jul 14 2021,1615,0
Kansas,Jul  7 2021,1475,0
Kansas,Jun 30 2021,1045,0
Kansas,Jun 23 2021,769,0
Kansas,Jun 16 2021,761,0
Kansas,Jun  9 2021,877,0
Kansas,Jun  2 2021,662,0
Kansas,May 26 2021,1042,0
Kansas,May 19 2021,1213,0
Kansas,May 12 2021,1221,0
Kansas,May  5 2021,1558,0
Kansas,Apr 28 2021,1603,0
Kansas,Apr 21 2021,1503,0
Kansas,Apr 14 2021,1553,0
Kansas,Apr  7 2021,1390,0
Kansas,Mar 31 2021,1414,0
Kansas,Mar 24 2021,1420,0
Kansas,Mar 17 2021,1545,0
Kansas,Mar 10 2021,2085,0
Kansas,Mar  3 2021,2235,0
Kansas,Feb 24 2021,4096,0
Kansas,Feb 17 2021,3884,0
Kansas,Feb 10 2021,5886,0
Kansas,Feb  3 2021,6573,0
Kansas,Jan 27 2021,9358,0
Kansas,Jan 20 2021,11278,0
Kansas,Jan 13 2021,14912,0
Kansas,Jan  6 2021,14234,0
Kansas,Dec 30 2020,12438,0
Kansas,Dec 23 2020,15106,0
Kansas,Dec 16 2020,15088,0
Kansas,Dec  9 2020,17780,0
Kansas,Dec  2 2020,14594,0
Kansas,Nov 25 2020,19359,0
Kansas,Nov 18 2020,19758,0
Kansas,Nov 11 2020,17081,0
Kansas,Nov  4 2020,10224,0
Kansas,Oct 28 2020,7225,0
Kansas,Oct 21 2020,5618,0
Kansas,Oct 14 2020,5418,0
Kansas,Oct  7 2020,4216,0
Kansas,Sep 30 2020,4528,0
Kansas,Sep 23 2020,5858,0
Kansas,Sep 16 2020,3287,0
Kansas,Sep  9 2020,3566,0
Kansas,Sep  2 2020,3964,0
Kansas,Aug 26 2020,4453,0
Kansas,Aug 19 2020,3319,0
Kansas,Aug 12 2020,2836,0
Kansas,Aug  5 2020,2668,0
Kansas,Jul 29 2020,3100,0
Kansas,Jul 22 2020,3133,0
Kansas,Jul 15 2020,3015,0
Kansas,Jul  8 2020,2500,0
Kansas,Jul  1 2020,1902,0
Kansas,Jun 24 2020,1284,0
Kansas,Jun 17 2020,895,0
Kansas,Jun 10 2020,662,0
Kansas,Jun  3 2020,799,0
Kansas,May 27 2020,781,0
Kansas,May 20 2020,989,0
Kansas,May 13 2020,1526,0
Kansas,May  6 2020,2158,0
Kansas,Apr 29 2020,1504,0
Kansas,Apr 22 2020,829,0
Kansas,Apr 15 2020,455,0
Kansas,Apr  8 2020,561,0
Kansas,Apr  1 2020,352,0
Kansas,Mar 25 2020,113,0
Kansas,Mar 18 2020,20,0
Kansas,Mar 11 2020,1,0
Kansas,Mar  4 2020,0,0
Kansas,Feb 26 2020,0,0
Kansas,Feb 19 2020,0,0
Kansas,Feb 12 2020,0,0
Kansas,Feb  5 2020,0,0
Kansas,Jan 29 2020,0,0
