Data Table for Weekly Case Trends - Maine
Date generated: Mon Dec 05 2022 12:41:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Maine,Nov 30 2022,847,0
Maine,Nov 23 2022,592,0
Maine,Nov 16 2022,800,0
Maine,Nov  9 2022,1142,0
Maine,Nov  2 2022,1433,0
Maine,Oct 26 2022,1504,0
Maine,Oct 19 2022,2152,0
Maine,Oct 12 2022,1813,0
Maine,Oct  5 2022,2211,0
Maine,Sep 28 2022,1409,0
Maine,Sep 21 2022,1640,0
Maine,Sep 14 2022,1661,0
Maine,Sep  7 2022,1209,0
Maine,Aug 31 2022,1985,0
Maine,Aug 24 2022,1231,0
Maine,Aug 17 2022,1509,0
Maine,Aug 10 2022,1409,0
Maine,Aug  3 2022,1531,0
Maine,Jul 27 2022,1467,0
Maine,Jul 20 2022,1654,0
Maine,Jul 13 2022,1212,0
Maine,Jul  6 2022,1223,0
Maine,Jun 29 2022,1540,0
Maine,Jun 22 2022,1204,0
Maine,Jun 15 2022,1611,0
Maine,Jun  8 2022,1857,0
Maine,Jun  1 2022,2127,0
Maine,May 25 2022,3838,0
Maine,May 18 2022,4095,0
Maine,May 11 2022,4856,0
Maine,May  4 2022,5206,0
Maine,Apr 27 2022,2343,0
Maine,Apr 20 2022,2119,0
Maine,Apr 13 2022,1912,0
Maine,Apr  6 2022,1428,0
Maine,Mar 30 2022,1375,0
Maine,Mar 23 2022,1219,0
Maine,Mar 16 2022,1448,0
Maine,Mar  9 2022,2541,0
Maine,Mar  2 2022,6282,0
Maine,Feb 23 2022,16920,0
Maine,Feb 16 2022,21391,0
Maine,Feb  9 2022,6112,0
Maine,Feb  2 2022,6978,0
Maine,Jan 26 2022,7198,0
Maine,Jan 19 2022,6239,0
Maine,Jan 12 2022,7242,0
Maine,Jan  5 2022,5216,0
Maine,Dec 29 2021,6208,0
Maine,Dec 22 2021,5251,0
Maine,Dec 15 2021,7337,0
Maine,Dec  8 2021,5381,0
Maine,Dec  1 2021,2963,0
Maine,Nov 24 2021,4424,0
Maine,Nov 17 2021,3718,0
Maine,Nov 10 2021,3874,0
Maine,Nov  3 2021,4004,0
Maine,Oct 27 2021,2662,0
Maine,Oct 20 2021,3167,0
Maine,Oct 13 2021,2753,0
Maine,Oct  6 2021,3898,0
Maine,Sep 29 2021,4117,0
Maine,Sep 22 2021,3265,0
Maine,Sep 15 2021,3199,0
Maine,Sep  8 2021,2495,0
Maine,Sep  1 2021,2210,0
Maine,Aug 25 2021,1432,0
Maine,Aug 18 2021,1152,0
Maine,Aug 11 2021,1123,0
Maine,Aug  4 2021,734,0
Maine,Jul 28 2021,481,0
Maine,Jul 21 2021,408,0
Maine,Jul 14 2021,183,0
Maine,Jul  7 2021,136,0
Maine,Jun 30 2021,165,0
Maine,Jun 23 2021,169,0
Maine,Jun 16 2021,271,0
Maine,Jun  9 2021,463,0
Maine,Jun  2 2021,562,0
Maine,May 26 2021,889,0
Maine,May 19 2021,1490,0
Maine,May 12 2021,1869,0
Maine,May  5 2021,2231,0
Maine,Apr 28 2021,2077,0
Maine,Apr 21 2021,2914,0
Maine,Apr 14 2021,2958,0
Maine,Apr  7 2021,2208,0
Maine,Mar 31 2021,1598,0
Maine,Mar 24 2021,1358,0
Maine,Mar 17 2021,1384,0
Maine,Mar 10 2021,1217,0
Maine,Mar  3 2021,1113,0
Maine,Feb 24 2021,1023,0
Maine,Feb 17 2021,1031,0
Maine,Feb 10 2021,1530,0
Maine,Feb  3 2021,2080,0
Maine,Jan 27 2021,2816,0
Maine,Jan 20 2021,3680,0
Maine,Jan 13 2021,4333,0
Maine,Jan  6 2021,3424,0
Maine,Dec 30 2020,2975,0
Maine,Dec 23 2020,3325,0
Maine,Dec 16 2020,3040,0
Maine,Dec  9 2020,2299,0
Maine,Dec  2 2020,1535,0
Maine,Nov 25 2020,1508,0
Maine,Nov 18 2020,1317,0
Maine,Nov 11 2020,1131,0
Maine,Nov  4 2020,685,0
Maine,Oct 28 2020,362,0
Maine,Oct 21 2020,213,0
Maine,Oct 14 2020,208,0
Maine,Oct  7 2020,214,0
Maine,Sep 30 2020,218,0
Maine,Sep 23 2020,230,0
Maine,Sep 16 2020,228,0
Maine,Sep  9 2020,145,0
Maine,Sep  2 2020,180,0
Maine,Aug 26 2020,154,0
Maine,Aug 19 2020,164,0
Maine,Aug 12 2020,78,0
Maine,Aug  5 2020,127,0
Maine,Jul 29 2020,144,0
Maine,Jul 22 2020,143,0
Maine,Jul 15 2020,121,0
Maine,Jul  8 2020,166,0
Maine,Jul  1 2020,273,0
Maine,Jun 24 2020,182,0
Maine,Jun 17 2020,199,0
Maine,Jun 10 2020,221,0
Maine,Jun  3 2020,280,0
Maine,May 27 2020,318,0
Maine,May 20 2020,304,0
Maine,May 13 2020,261,0
Maine,May  6 2020,199,0
Maine,Apr 29 2020,148,0
Maine,Apr 22 2020,137,0
Maine,Apr 15 2020,232,0
Maine,Apr  8 2020,234,0
Maine,Apr  1 2020,161,0
Maine,Mar 25 2020,107,0
Maine,Mar 18 2020,35,0
Maine,Mar 11 2020,0,0
Maine,Mar  4 2020,0,0
Maine,Feb 26 2020,0,0
Maine,Feb 19 2020,0,0
Maine,Feb 12 2020,0,0
Maine,Feb  5 2020,0,0
Maine,Jan 29 2020,0,0
