Data Table for Weekly Death Trends - Maine
Date generated: Mon Dec 05 2022 12:41:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Maine,Nov 30 2022,1,0
Maine,Nov 23 2022,6,0
Maine,Nov 16 2022,4,0
Maine,Nov  9 2022,58,0
Maine,Nov  2 2022,11,0
Maine,Oct 26 2022,12,0
Maine,Oct 19 2022,9,0
Maine,Oct 12 2022,24,0
Maine,Oct  5 2022,20,0
Maine,Sep 28 2022,8,0
Maine,Sep 21 2022,5,0
Maine,Sep 14 2022,30,0
Maine,Sep  7 2022,22,0
Maine,Aug 31 2022,7,0
Maine,Aug 24 2022,8,0
Maine,Aug 17 2022,4,0
Maine,Aug 10 2022,7,0
Maine,Aug  3 2022,21,0
Maine,Jul 27 2022,1,0
Maine,Jul 20 2022,1,0
Maine,Jul 13 2022,10,0
Maine,Jul  6 2022,38,0
Maine,Jun 29 2022,6,0
Maine,Jun 22 2022,1,0
Maine,Jun 15 2022,7,0
Maine,Jun  8 2022,50,0
Maine,Jun  1 2022,5,0
Maine,May 25 2022,10,0
Maine,May 18 2022,5,0
Maine,May 11 2022,27,0
Maine,May  4 2022,22,0
Maine,Apr 27 2022,4,0
Maine,Apr 20 2022,2,0
Maine,Apr 13 2022,57,0
Maine,Apr  6 2022,17,0
Maine,Mar 30 2022,9,0
Maine,Mar 23 2022,14,0
Maine,Mar 16 2022,41,0
Maine,Mar  9 2022,63,0
Maine,Mar  2 2022,104,0
Maine,Feb 23 2022,88,0
Maine,Feb 16 2022,61,0
Maine,Feb  9 2022,45,0
Maine,Feb  2 2022,49,0
Maine,Jan 26 2022,36,0
Maine,Jan 19 2022,66,0
Maine,Jan 12 2022,34,0
Maine,Jan  5 2022,67,0
Maine,Dec 29 2021,57,0
Maine,Dec 22 2021,63,0
Maine,Dec 15 2021,48,0
Maine,Dec  8 2021,27,0
Maine,Dec  1 2021,27,0
Maine,Nov 24 2021,49,0
Maine,Nov 17 2021,34,0
Maine,Nov 10 2021,23,0
Maine,Nov  3 2021,43,0
Maine,Oct 27 2021,41,0
Maine,Oct 20 2021,25,0
Maine,Oct 13 2021,21,0
Maine,Oct  6 2021,45,0
Maine,Sep 29 2021,13,0
Maine,Sep 22 2021,30,0
Maine,Sep 15 2021,30,0
Maine,Sep  8 2021,12,0
Maine,Sep  1 2021,11,0
Maine,Aug 25 2021,5,0
Maine,Aug 18 2021,18,0
Maine,Aug 11 2021,3,0
Maine,Aug  4 2021,1,0
Maine,Jul 28 2021,8,0
Maine,Jul 21 2021,14,0
Maine,Jul 14 2021,17,0
Maine,Jul  7 2021,2,0
Maine,Jun 30 2021,4,0
Maine,Jun 23 2021,2,0
Maine,Jun 16 2021,10,0
Maine,Jun  9 2021,6,0
Maine,Jun  2 2021,11,0
Maine,May 26 2021,9,0
Maine,May 19 2021,18,0
Maine,May 12 2021,5,0
Maine,May  5 2021,12,0
Maine,Apr 28 2021,12,0
Maine,Apr 21 2021,11,0
Maine,Apr 14 2021,10,0
Maine,Apr  7 2021,5,0
Maine,Mar 31 2021,12,0
Maine,Mar 24 2021,4,0
Maine,Mar 17 2021,4,0
Maine,Mar 10 2021,19,0
Maine,Mar  3 2021,5,0
Maine,Feb 24 2021,44,0
Maine,Feb 17 2021,14,0
Maine,Feb 10 2021,12,0
Maine,Feb  3 2021,63,0
Maine,Jan 27 2021,31,0
Maine,Jan 20 2021,75,0
Maine,Jan 13 2021,76,0
Maine,Jan  6 2021,38,0
Maine,Dec 30 2020,30,0
Maine,Dec 23 2020,41,0
Maine,Dec 16 2020,30,0
Maine,Dec  9 2020,28,0
Maine,Dec  2 2020,28,0
Maine,Nov 25 2020,19,0
Maine,Nov 18 2020,12,0
Maine,Nov 11 2020,8,0
Maine,Nov  4 2020,4,0
Maine,Oct 28 2020,0,0
Maine,Oct 21 2020,3,0
Maine,Oct 14 2020,1,0
Maine,Oct  7 2020,1,0
Maine,Sep 30 2020,1,0
Maine,Sep 23 2020,2,0
Maine,Sep 16 2020,4,0
Maine,Sep  9 2020,1,0
Maine,Sep  2 2020,1,0
Maine,Aug 26 2020,5,0
Maine,Aug 19 2020,1,0
Maine,Aug 12 2020,2,0
Maine,Aug  5 2020,3,0
Maine,Jul 29 2020,3,0
Maine,Jul 22 2020,4,0
Maine,Jul 15 2020,4,0
Maine,Jul  8 2020,5,0
Maine,Jul  1 2020,2,0
Maine,Jun 24 2020,1,0
Maine,Jun 17 2020,2,0
Maine,Jun 10 2020,5,0
Maine,Jun  3 2020,14,0
Maine,May 27 2020,8,0
Maine,May 20 2020,7,0
Maine,May 13 2020,4,0
Maine,May  6 2020,10,0
Maine,Apr 29 2020,13,0
Maine,Apr 22 2020,15,0
Maine,Apr 15 2020,10,0
Maine,Apr  8 2020,9,0
Maine,Apr  1 2020,5,0
Maine,Mar 25 2020,0,0
Maine,Mar 18 2020,0,0
Maine,Mar 11 2020,0,0
Maine,Mar  4 2020,0,0
Maine,Feb 26 2020,0,0
Maine,Feb 19 2020,0,0
Maine,Feb 12 2020,0,0
Maine,Feb  5 2020,0,0
Maine,Jan 29 2020,0,0
