Data Table for Total Cases - Arkansas
Date generated: Mon Dec 05 2022 12:36:53 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Arkansas,Nov 30 2022,968872
Arkansas,Nov 23 2022,966346
Arkansas,Nov 16 2022,964602
Arkansas,Nov  9 2022,962761
Arkansas,Nov  2 2022,960631
Arkansas,Oct 26 2022,958675
Arkansas,Oct 19 2022,956856
Arkansas,Oct 12 2022,954823
Arkansas,Oct  5 2022,952892
Arkansas,Sep 28 2022,950940
Arkansas,Sep 21 2022,947967
Arkansas,Sep 14 2022,943945
Arkansas,Sep  7 2022,938398
Arkansas,Aug 31 2022,932639
Arkansas,Aug 24 2022,925881
Arkansas,Aug 17 2022,919634
Arkansas,Aug 10 2022,913354
Arkansas,Aug  3 2022,906952
Arkansas,Jul 27 2022,899551
Arkansas,Jul 20 2022,890943
Arkansas,Jul 13 2022,881424
Arkansas,Jul  6 2022,871467
Arkansas,Jun 29 2022,864155
Arkansas,Jun 22 2022,857119
Arkansas,Jun 15 2022,852229
Arkansas,Jun  8 2022,847811
Arkansas,Jun  1 2022,843828
Arkansas,May 25 2022,841676
Arkansas,May 18 2022,839435
Arkansas,May 11 2022,837719
Arkansas,May  4 2022,836338
Arkansas,Apr 27 2022,835404
Arkansas,Apr 20 2022,834554
Arkansas,Apr 13 2022,833939
Arkansas,Apr  6 2022,833377
Arkansas,Mar 30 2022,832811
Arkansas,Mar 23 2022,831945
Arkansas,Mar 16 2022,830448
Arkansas,Mar  9 2022,829586
Arkansas,Mar  2 2022,828357
Arkansas,Feb 23 2022,826578
Arkansas,Feb 16 2022,823110
Arkansas,Feb  9 2022,816763
Arkansas,Feb  2 2022,807279
Arkansas,Jan 26 2022,782756
Arkansas,Jan 19 2022,739493
Arkansas,Jan 12 2022,673062
Arkansas,Jan  5 2022,606923
Arkansas,Dec 29 2021,567589
Arkansas,Dec 22 2021,549396
Arkansas,Dec 15 2021,542245
Arkansas,Dec  8 2021,537203
Arkansas,Dec  1 2021,531748
Arkansas,Nov 24 2021,527052
Arkansas,Nov 17 2021,522943
Arkansas,Nov 10 2021,518824
Arkansas,Nov  3 2021,515309
Arkansas,Oct 27 2021,512399
Arkansas,Oct 20 2021,509315
Arkansas,Oct 13 2021,505931
Arkansas,Oct  6 2021,501743
Arkansas,Sep 29 2021,496836
Arkansas,Sep 22 2021,490943
Arkansas,Sep 15 2021,483070
Arkansas,Sep  8 2021,472741
Arkansas,Sep  1 2021,460849
Arkansas,Aug 25 2021,446196
Arkansas,Aug 18 2021,431371
Arkansas,Aug 11 2021,415809
Arkansas,Aug  4 2021,399884
Arkansas,Jul 28 2021,384951
Arkansas,Jul 21 2021,372178
Arkansas,Jul 14 2021,362562
Arkansas,Jul  7 2021,355241
Arkansas,Jun 30 2021,350451
Arkansas,Jun 23 2021,347194
Arkansas,Jun 16 2021,345005
Arkansas,Jun  9 2021,343342
Arkansas,Jun  2 2021,341914
Arkansas,May 26 2021,340866
Arkansas,May 19 2021,339600
Arkansas,May 12 2021,338211
Arkansas,May  5 2021,336929
Arkansas,Apr 28 2021,335430
Arkansas,Apr 21 2021,334172
Arkansas,Apr 14 2021,332917
Arkansas,Apr  7 2021,331620
Arkansas,Mar 31 2021,330508
Arkansas,Mar 24 2021,329426
Arkansas,Mar 17 2021,328245
Arkansas,Mar 10 2021,326554
Arkansas,Mar  3 2021,324704
Arkansas,Feb 24 2021,322163
Arkansas,Feb 17 2021,318684
Arkansas,Feb 10 2021,315649
Arkansas,Feb  3 2021,308237
Arkansas,Jan 27 2021,297251
Arkansas,Jan 20 2021,284251
Arkansas,Jan 13 2021,270210
Arkansas,Jan  6 2021,252497
Arkansas,Dec 30 2020,232343
Arkansas,Dec 23 2020,215307
Arkansas,Dec 16 2020,197762
Arkansas,Dec  9 2020,182184
Arkansas,Dec  2 2020,167577
Arkansas,Nov 25 2020,155475
Arkansas,Nov 18 2020,142350
Arkansas,Nov 11 2020,130028
Arkansas,Nov  4 2020,117899
Arkansas,Oct 28 2020,109852
Arkansas,Oct 21 2020,102864
Arkansas,Oct 14 2020,96581
Arkansas,Oct  7 2020,90101
Arkansas,Sep 30 2020,84694
Arkansas,Sep 23 2020,79703
Arkansas,Sep 16 2020,74371
Arkansas,Sep  9 2020,69292
Arkansas,Sep  2 2020,64647
Arkansas,Aug 26 2020,60157
Arkansas,Aug 19 2020,56356
Arkansas,Aug 12 2020,52140
Arkansas,Aug  5 2020,47532
Arkansas,Jul 29 2020,42456
Arkansas,Jul 22 2020,37169
Arkansas,Jul 15 2020,32111
Arkansas,Jul  8 2020,26905
Arkansas,Jul  1 2020,22815
Arkansas,Jun 24 2020,18618
Arkansas,Jun 17 2020,14432
Arkansas,Jun 10 2020,10972
Arkansas,Jun  3 2020,8451
Arkansas,May 27 2020,6513
Arkansas,May 20 2020,5411
Arkansas,May 13 2020,4360
Arkansas,May  6 2020,3790
Arkansas,Apr 29 2020,3217
Arkansas,Apr 22 2020,2640
Arkansas,Apr 15 2020,1715
Arkansas,Apr  8 2020,1154
Arkansas,Apr  1 2020,683
Arkansas,Mar 25 2020,353
Arkansas,Mar 18 2020,55
Arkansas,Mar 11 2020,5
Arkansas,Mar  4 2020,0
Arkansas,Feb 26 2020,0
Arkansas,Feb 19 2020,0
Arkansas,Feb 12 2020,0
Arkansas,Feb  5 2020,0
Arkansas,Jan 29 2020,0
