Data Table for Total Cases - New York (excludes NYC)*
Date generated: Mon Dec 05 2022 12:48:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
New York,Nov 30 2022,3355841
New York,Nov 23 2022,3342995
New York,Nov 16 2022,3331848
New York,Nov  9 2022,3320495
New York,Nov  2 2022,3306552
New York,Oct 26 2022,3292517
New York,Oct 19 2022,3278513
New York,Oct 12 2022,3262990
New York,Oct  5 2022,3246793
New York,Sep 28 2022,3229569
New York,Sep 21 2022,3211020
New York,Sep 14 2022,3192820
New York,Sep  7 2022,3177280
New York,Aug 31 2022,3163847
New York,Aug 24 2022,3148449
New York,Aug 17 2022,3132526
New York,Aug 10 2022,3115567
New York,Aug  3 2022,3097227
New York,Jul 27 2022,3077690
New York,Jul 20 2022,3056917
New York,Jul 13 2022,3036280
New York,Jul  6 2022,3014477
New York,Jun 29 2022,3000122
New York,Jun 22 2022,2983930
New York,Jun 15 2022,2969934
New York,Jun  8 2022,2954517
New York,Jun  1 2022,2934740
New York,May 25 2022,2911805
New York,May 18 2022,2878431
New York,May 11 2022,2837766
New York,May  4 2022,2797657
New York,Apr 27 2022,2762939
New York,Apr 20 2022,2732876
New York,Apr 13 2022,2706561
New York,Apr  6 2022,2684282
New York,Mar 30 2022,2669194
New York,Mar 23 2022,2657498
New York,Mar 16 2022,2648187
New York,Mar  9 2022,2640833
New York,Mar  2 2022,2633235
New York,Feb 23 2022,2624707
New York,Feb 16 2022,2612167
New York,Feb  9 2022,2594093
New York,Feb  2 2022,2565373
New York,Jan 26 2022,2517935
New York,Jan 19 2022,2434495
New York,Jan 12 2022,2294011
New York,Jan  5 2022,2067532
New York,Dec 29 2021,1861178
New York,Dec 22 2021,1747527
New York,Dec 15 2021,1678066
New York,Dec  8 2021,1628399
New York,Dec  1 2021,1577283
New York,Nov 24 2021,1541026
New York,Nov 17 2021,1503512
New York,Nov 10 2021,1471499
New York,Nov  3 2021,1446297
New York,Oct 27 2021,1425273
New York,Oct 20 2021,1406250
New York,Oct 13 2021,1383722
New York,Oct  6 2021,1360433
New York,Sep 29 2021,1337566
New York,Sep 22 2021,1313678
New York,Sep 15 2021,1289513
New York,Sep  8 2021,1266636
New York,Sep  1 2021,1246175
New York,Aug 25 2021,1225101
New York,Aug 18 2021,1207695
New York,Aug 11 2021,1191355
New York,Aug  4 2021,1178087
New York,Jul 28 2021,1169008
New York,Jul 21 2021,1163720
New York,Jul 14 2021,1160626
New York,Jul  7 2021,1158735
New York,Jun 30 2021,1157569
New York,Jun 23 2021,1156589
New York,Jun 16 2021,1155526
New York,Jun  9 2021,1154047
New York,Jun  2 2021,1151803
New York,May 26 2021,1148803
New York,May 19 2021,1143691
New York,May 12 2021,1136397
New York,May  5 2021,1127008
New York,Apr 28 2021,1114602
New York,Apr 21 2021,1099516
New York,Apr 14 2021,1078349
New York,Apr  7 2021,1052885
New York,Mar 31 2021,1026346
New York,Mar 24 2021,998472
New York,Mar 17 2021,973874
New York,Mar 10 2021,950981
New York,Mar  3 2021,927941
New York,Feb 24 2021,903553
New York,Feb 17 2021,880944
New York,Feb 10 2021,854469
New York,Feb  3 2021,823062
New York,Jan 27 2021,784719
New York,Jan 20 2021,733903
New York,Jan 13 2021,674705
New York,Jan  6 2021,603570
New York,Dec 30 2020,537372
New York,Dec 23 2020,487062
New York,Dec 16 2020,438797
New York,Dec  9 2020,392090
New York,Dec  2 2020,346492
New York,Nov 25 2020,313075
New York,Nov 18 2020,287050
New York,Nov 11 2020,265651
New York,Nov  4 2020,249422
New York,Oct 28 2020,240130
New York,Oct 21 2020,232460
New York,Oct 14 2020,226174
New York,Oct  7 2020,220268
New York,Sep 30 2020,214608
New York,Sep 23 2020,210805
New York,Sep 16 2020,207741
New York,Sep  9 2020,204507
New York,Sep  2 2020,201412
New York,Aug 26 2020,198515
New York,Aug 19 2020,196187
New York,Aug 12 2020,193974
New York,Aug  5 2020,191644
New York,Jul 29 2020,189042
New York,Jul 22 2020,186442
New York,Jul 15 2020,184024
New York,Jul  8 2020,181152
New York,Jul  1 2020,178604
New York,Jun 24 2020,176318
New York,Jun 17 2020,174201
New York,Jun 10 2020,172038
New York,Jun  3 2020,169213
New York,May 27 2020,164997
New York,May 20 2020,159820
New York,May 13 2020,153411
New York,May  6 2020,145627
New York,Apr 29 2020,134850
New York,Apr 22 2020,115396
New York,Apr 15 2020,96037
New York,Apr  8 2020,69048
New York,Apr  1 2020,36509
New York,Mar 25 2020,12985
New York,Mar 18 2020,1167
New York,Mar 11 2020,165
New York,Mar  4 2020,10
New York,Feb 26 2020,0
New York,Feb 19 2020,0
New York,Feb 12 2020,0
New York,Feb  5 2020,0
New York,Jan 29 2020,0
