Data Table for Total Cases - Connecticut
Date generated: Mon Dec 05 2022 12:37:33 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Connecticut,Nov 30 2022,925492
Connecticut,Nov 23 2022,922687
Connecticut,Nov 16 2022,919827
Connecticut,Nov  9 2022,916907
Connecticut,Nov  2 2022,913693
Connecticut,Oct 26 2022,910062
Connecticut,Oct 19 2022,906553
Connecticut,Oct 12 2022,902574
Connecticut,Oct  5 2022,898289
Connecticut,Sep 28 2022,893629
Connecticut,Sep 21 2022,888753
Connecticut,Sep 14 2022,883990
Connecticut,Sep  7 2022,880000
Connecticut,Aug 31 2022,876067
Connecticut,Aug 24 2022,872027
Connecticut,Aug 17 2022,867759
Connecticut,Aug 10 2022,862619
Connecticut,Aug  3 2022,857252
Connecticut,Jul 27 2022,851842
Connecticut,Jul 20 2022,846008
Connecticut,Jul 13 2022,840721
Connecticut,Jul  6 2022,835637
Connecticut,Jun 29 2022,830617
Connecticut,Jun 22 2022,826705
Connecticut,Jun 15 2022,821751
Connecticut,Jun  8 2022,814957
Connecticut,Jun  1 2022,808846
Connecticut,May 25 2022,800506
Connecticut,May 18 2022,789266
Connecticut,May 11 2022,777066
Connecticut,May  4 2022,763149
Connecticut,Apr 27 2022,755971
Connecticut,Apr 20 2022,749783
Connecticut,Apr 13 2022,744052
Connecticut,Apr  6 2022,739454
Connecticut,Mar 30 2022,736033
Connecticut,Mar 23 2022,733328
Connecticut,Mar 16 2022,731128
Connecticut,Mar  9 2022,729063
Connecticut,Mar  2 2022,723812
Connecticut,Feb 23 2022,721496
Connecticut,Feb 16 2022,717520
Connecticut,Feb  9 2022,710669
Connecticut,Feb  2 2022,702426
Connecticut,Jan 26 2022,690350
Connecticut,Jan 19 2022,662425
Connecticut,Jan 12 2022,619185
Connecticut,Jan  5 2022,554812
Connecticut,Dec 29 2021,502484
Connecticut,Dec 22 2021,471141
Connecticut,Dec 15 2021,452038
Connecticut,Dec  8 2021,433464
Connecticut,Dec  1 2021,422785
Connecticut,Nov 24 2021,416573
Connecticut,Nov 17 2021,411311
Connecticut,Nov 10 2021,406752
Connecticut,Nov  3 2021,404218
Connecticut,Oct 27 2021,401716
Connecticut,Oct 20 2021,399363
Connecticut,Oct 13 2021,395721
Connecticut,Oct  6 2021,392951
Connecticut,Sep 29 2021,390180
Connecticut,Sep 22 2021,386672
Connecticut,Sep 15 2021,381732
Connecticut,Sep  8 2021,377682
Connecticut,Sep  1 2021,373784
Connecticut,Aug 25 2021,369132
Connecticut,Aug 18 2021,364891
Connecticut,Aug 11 2021,360552
Connecticut,Aug  4 2021,356701
Connecticut,Jul 28 2021,353505
Connecticut,Jul 21 2021,351530
Connecticut,Jul 14 2021,350387
Connecticut,Jul  7 2021,349744
Connecticut,Jun 30 2021,349353
Connecticut,Jun 23 2021,348840
Connecticut,Jun 16 2021,348561
Connecticut,Jun  9 2021,348262
Connecticut,Jun  2 2021,347678
Connecticut,May 26 2021,346980
Connecticut,May 19 2021,345948
Connecticut,May 12 2021,344141
Connecticut,May  5 2021,341571
Connecticut,Apr 28 2021,337961
Connecticut,Apr 21 2021,332995
Connecticut,Apr 14 2021,327298
Connecticut,Apr  7 2021,318767
Connecticut,Mar 31 2021,310624
Connecticut,Mar 24 2021,302022
Connecticut,Mar 17 2021,294328
Connecticut,Mar 10 2021,288657
Connecticut,Mar  3 2021,283622
Connecticut,Feb 24 2021,278184
Connecticut,Feb 17 2021,271356
Connecticut,Feb 10 2021,265496
Connecticut,Feb  3 2021,257004
Connecticut,Jan 27 2021,247339
Connecticut,Jan 20 2021,234134
Connecticut,Jan 13 2021,220576
Connecticut,Jan  6 2021,199454
Connecticut,Dec 30 2020,183663
Connecticut,Dec 23 2020,170705
Connecticut,Dec 16 2020,157781
Connecticut,Dec  9 2020,140548
Connecticut,Dec  2 2020,121426
Connecticut,Nov 25 2020,109152
Connecticut,Nov 18 2020,97028
Connecticut,Nov 11 2020,84741
Connecticut,Nov  4 2020,75373
Connecticut,Oct 28 2020,69127
Connecticut,Oct 21 2020,64871
Connecticut,Oct 14 2020,61861
Connecticut,Oct  7 2020,59364
Connecticut,Sep 30 2020,57550
Connecticut,Sep 23 2020,56315
Connecticut,Sep 16 2020,55166
Connecticut,Sep  9 2020,53871
Connecticut,Sep  2 2020,53108
Connecticut,Aug 26 2020,52220
Connecticut,Aug 19 2020,51314
Connecticut,Aug 12 2020,50707
Connecticut,Aug  5 2020,50225
Connecticut,Jul 29 2020,49540
Connecticut,Jul 22 2020,48211
Connecticut,Jul 15 2020,47636
Connecticut,Jul  8 2020,47109
Connecticut,Jul  1 2020,46573
Connecticut,Jun 24 2020,45913
Connecticut,Jun 17 2020,45359
Connecticut,Jun 10 2020,44483
Connecticut,Jun  3 2020,43860
Connecticut,May 27 2020,42212
Connecticut,May 20 2020,39456
Connecticut,May 13 2020,36095
Connecticut,May  6 2020,32253
Connecticut,Apr 29 2020,27817
Connecticut,Apr 22 2020,22534
Connecticut,Apr 15 2020,16550
Connecticut,Apr  8 2020,9742
Connecticut,Apr  1 2020,4423
Connecticut,Mar 25 2020,1206
Connecticut,Mar 18 2020,124
Connecticut,Mar 11 2020,5
Connecticut,Mar  4 2020,0
Connecticut,Feb 26 2020,0
Connecticut,Feb 19 2020,0
Connecticut,Feb 12 2020,0
Connecticut,Feb  5 2020,0
Connecticut,Jan 29 2020,0
