Data Table for Weekly Death Trends - Montana
Date generated: Mon Dec 05 2022 12:46:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Montana,Nov 30 2022,3,0
Montana,Nov 23 2022,10,0
Montana,Nov 16 2022,6,0
Montana,Nov  9 2022,4,0
Montana,Nov  2 2022,3,0
Montana,Oct 26 2022,5,0
Montana,Oct 19 2022,3,0
Montana,Oct 12 2022,11,0
Montana,Oct  5 2022,35,0
Montana,Sep 28 2022,2,0
Montana,Sep 21 2022,6,0
Montana,Sep 14 2022,3,0
Montana,Sep  7 2022,7,0
Montana,Aug 31 2022,1,0
Montana,Aug 24 2022,12,0
Montana,Aug 17 2022,9,0
Montana,Aug 10 2022,2,0
Montana,Aug  3 2022,9,0
Montana,Jul 27 2022,4,0
Montana,Jul 20 2022,11,0
Montana,Jul 13 2022,6,0
Montana,Jul  6 2022,3,0
Montana,Jun 29 2022,1,0
Montana,Jun 22 2022,5,0
Montana,Jun 15 2022,7,0
Montana,Jun  8 2022,11,0
Montana,Jun  1 2022,21,0
Montana,May 25 2022,15,0
Montana,May 18 2022,4,0
Montana,May 11 2022,7,0
Montana,May  4 2022,21,0
Montana,Apr 27 2022,91,0
Montana,Apr 20 2022,3,0
Montana,Apr 13 2022,11,0
Montana,Apr  6 2022,2,0
Montana,Mar 30 2022,8,0
Montana,Mar 23 2022,9,0
Montana,Mar 16 2022,17,0
Montana,Mar  9 2022,23,0
Montana,Mar  2 2022,36,0
Montana,Feb 23 2022,63,0
Montana,Feb 16 2022,42,0
Montana,Feb  9 2022,24,0
Montana,Feb  2 2022,36,0
Montana,Jan 26 2022,24,0
Montana,Jan 19 2022,32,0
Montana,Jan 12 2022,21,0
Montana,Jan  5 2022,7,0
Montana,Dec 29 2021,16,0
Montana,Dec 22 2021,22,0
Montana,Dec 15 2021,86,0
Montana,Dec  8 2021,59,0
Montana,Dec  1 2021,110,0
Montana,Nov 24 2021,89,0
Montana,Nov 17 2021,71,0
Montana,Nov 10 2021,55,0
Montana,Nov  3 2021,75,0
Montana,Oct 27 2021,97,0
Montana,Oct 20 2021,115,0
Montana,Oct 13 2021,48,0
Montana,Oct  6 2021,60,0
Montana,Sep 29 2021,87,0
Montana,Sep 22 2021,56,0
Montana,Sep 15 2021,30,0
Montana,Sep  8 2021,25,0
Montana,Sep  1 2021,30,0
Montana,Aug 25 2021,24,0
Montana,Aug 18 2021,24,0
Montana,Aug 11 2021,8,0
Montana,Aug  4 2021,13,0
Montana,Jul 28 2021,10,0
Montana,Jul 21 2021,11,0
Montana,Jul 14 2021,12,0
Montana,Jul  7 2021,7,0
Montana,Jun 30 2021,8,0
Montana,Jun 23 2021,8,0
Montana,Jun 16 2021,13,0
Montana,Jun  9 2021,16,0
Montana,Jun  2 2021,14,0
Montana,May 26 2021,5,0
Montana,May 19 2021,7,0
Montana,May 12 2021,17,0
Montana,May  5 2021,12,0
Montana,Apr 28 2021,9,0
Montana,Apr 21 2021,31,0
Montana,Apr 14 2021,37,0
Montana,Apr  7 2021,53,0
Montana,Mar 31 2021,6,0
Montana,Mar 24 2021,34,0
Montana,Mar 17 2021,9,0
Montana,Mar 10 2021,14,0
Montana,Mar  3 2021,24,0
Montana,Feb 24 2021,15,0
Montana,Feb 17 2021,14,0
Montana,Feb 10 2021,20,0
Montana,Feb  3 2021,101,0
Montana,Jan 27 2021,104,0
Montana,Jan 20 2021,25,0
Montana,Jan 13 2021,53,0
Montana,Jan  6 2021,68,0
Montana,Dec 30 2020,36,0
Montana,Dec 23 2020,77,0
Montana,Dec 16 2020,64,0
Montana,Dec  9 2020,58,0
Montana,Dec  2 2020,62,0
Montana,Nov 25 2020,91,0
Montana,Nov 18 2020,90,0
Montana,Nov 11 2020,65,0
Montana,Nov  4 2020,79,0
Montana,Oct 28 2020,50,0
Montana,Oct 21 2020,50,0
Montana,Oct 14 2020,32,0
Montana,Oct  7 2020,13,0
Montana,Sep 30 2020,15,0
Montana,Sep 23 2020,24,0
Montana,Sep 16 2020,19,0
Montana,Sep  9 2020,13,0
Montana,Sep  2 2020,11,0
Montana,Aug 26 2020,14,0
Montana,Aug 19 2020,4,0
Montana,Aug 12 2020,15,0
Montana,Aug  5 2020,11,0
Montana,Jul 29 2020,12,0
Montana,Jul 22 2020,8,0
Montana,Jul 15 2020,11,0
Montana,Jul  8 2020,1,0
Montana,Jul  1 2020,1,0
Montana,Jun 24 2020,1,0
Montana,Jun 17 2020,2,0
Montana,Jun 10 2020,1,0
Montana,Jun  3 2020,0,0
Montana,May 27 2020,1,0
Montana,May 20 2020,0,0
Montana,May 13 2020,0,0
Montana,May  6 2020,0,0
Montana,Apr 29 2020,2,0
Montana,Apr 22 2020,7,0
Montana,Apr 15 2020,1,0
Montana,Apr  8 2020,1,0
Montana,Apr  1 2020,5,0
Montana,Mar 25 2020,0,0
Montana,Mar 18 2020,0,0
Montana,Mar 11 2020,0,0
Montana,Mar  4 2020,0,0
Montana,Feb 26 2020,0,0
Montana,Feb 19 2020,0,0
Montana,Feb 12 2020,0,0
Montana,Feb  5 2020,0,0
Montana,Jan 29 2020,0,0
