Data Table for Total Deaths - North Dakota
Date generated: Mon Dec 05 2022 12:58:54 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
North Dakota,Nov 30 2022,2232
North Dakota,Nov 23 2022,2232
North Dakota,Nov 16 2022,2232
North Dakota,Nov  9 2022,2232
North Dakota,Nov  2 2022,2232
North Dakota,Oct 26 2022,2232
North Dakota,Oct 19 2022,2232
North Dakota,Oct 12 2022,2232
North Dakota,Oct  5 2022,2232
North Dakota,Sep 28 2022,2232
North Dakota,Sep 21 2022,2232
North Dakota,Sep 14 2022,2232
North Dakota,Sep  7 2022,2232
North Dakota,Aug 31 2022,2232
North Dakota,Aug 24 2022,2232
North Dakota,Aug 17 2022,2232
North Dakota,Aug 10 2022,2232
North Dakota,Aug  3 2022,2232
North Dakota,Jul 27 2022,2232
North Dakota,Jul 20 2022,2232
North Dakota,Jul 13 2022,2232
North Dakota,Jul  6 2022,2232
North Dakota,Jun 29 2022,2232
North Dakota,Jun 22 2022,2232
North Dakota,Jun 15 2022,2232
North Dakota,Jun  8 2022,2232
North Dakota,Jun  1 2022,2232
North Dakota,May 25 2022,2232
North Dakota,May 18 2022,2232
North Dakota,May 11 2022,2232
North Dakota,May  4 2022,2232
North Dakota,Apr 27 2022,2232
North Dakota,Apr 20 2022,2232
North Dakota,Apr 13 2022,2232
North Dakota,Apr  6 2022,2232
North Dakota,Mar 30 2022,2232
North Dakota,Mar 23 2022,2232
North Dakota,Mar 16 2022,2229
North Dakota,Mar  9 2022,2218
North Dakota,Mar  2 2022,2199
North Dakota,Feb 23 2022,2194
North Dakota,Feb 16 2022,2194
North Dakota,Feb  9 2022,2190
North Dakota,Feb  2 2022,2162
North Dakota,Jan 26 2022,2135
North Dakota,Jan 19 2022,2102
North Dakota,Jan 12 2022,2086
North Dakota,Jan  5 2022,2068
North Dakota,Dec 29 2021,2050
North Dakota,Dec 22 2021,2036
North Dakota,Dec 15 2021,2011
North Dakota,Dec  8 2021,1978
North Dakota,Dec  1 2021,1936
North Dakota,Nov 24 2021,1904
North Dakota,Nov 17 2021,1867
North Dakota,Nov 10 2021,1838
North Dakota,Nov  3 2021,1815
North Dakota,Oct 27 2021,1782
North Dakota,Oct 20 2021,1732
North Dakota,Oct 13 2021,1692
North Dakota,Oct  6 2021,1662
North Dakota,Sep 29 2021,1644
North Dakota,Sep 22 2021,1628
North Dakota,Sep 15 2021,1612
North Dakota,Sep  8 2021,1599
North Dakota,Sep  1 2021,1593
North Dakota,Aug 25 2021,1587
North Dakota,Aug 18 2021,1579
North Dakota,Aug 11 2021,1574
North Dakota,Aug  4 2021,1572
North Dakota,Jul 28 2021,1569
North Dakota,Jul 21 2021,1569
North Dakota,Jul 14 2021,1567
North Dakota,Jul  7 2021,1559
North Dakota,Jun 30 2021,1559
North Dakota,Jun 23 2021,1557
North Dakota,Jun 16 2021,1553
North Dakota,Jun  9 2021,1548
North Dakota,Jun  2 2021,1543
North Dakota,May 26 2021,1539
North Dakota,May 19 2021,1536
North Dakota,May 12 2021,1532
North Dakota,May  5 2021,1528
North Dakota,Apr 28 2021,1517
North Dakota,Apr 21 2021,1515
North Dakota,Apr 14 2021,1505
North Dakota,Apr  7 2021,1499
North Dakota,Mar 31 2021,1498
North Dakota,Mar 24 2021,1495
North Dakota,Mar 17 2021,1490
North Dakota,Mar 10 2021,1481
North Dakota,Mar  3 2021,1477
North Dakota,Feb 24 2021,1469
North Dakota,Feb 17 2021,1460
North Dakota,Feb 10 2021,1459
North Dakota,Feb  3 2021,1445
North Dakota,Jan 27 2021,1438
North Dakota,Jan 20 2021,1409
North Dakota,Jan 13 2021,1364
North Dakota,Jan  6 2021,1334
North Dakota,Dec 30 2020,1292
North Dakota,Dec 23 2020,1243
North Dakota,Dec 16 2020,1195
North Dakota,Dec  9 2020,1086
North Dakota,Dec  2 2020,972
North Dakota,Nov 25 2020,893
North Dakota,Nov 18 2020,792
North Dakota,Nov 11 2020,686
North Dakota,Nov  4 2020,567
North Dakota,Oct 28 2020,488
North Dakota,Oct 21 2020,422
North Dakota,Oct 14 2020,364
North Dakota,Oct  7 2020,304
North Dakota,Sep 30 2020,246
North Dakota,Sep 23 2020,203
North Dakota,Sep 16 2020,177
North Dakota,Sep  9 2020,157
North Dakota,Sep  2 2020,148
North Dakota,Aug 26 2020,138
North Dakota,Aug 19 2020,130
North Dakota,Aug 12 2020,120
North Dakota,Aug  5 2020,108
North Dakota,Jul 29 2020,102
North Dakota,Jul 22 2020,96
North Dakota,Jul 15 2020,88
North Dakota,Jul  8 2020,85
North Dakota,Jul  1 2020,80
North Dakota,Jun 24 2020,78
North Dakota,Jun 17 2020,74
North Dakota,Jun 10 2020,73
North Dakota,Jun  3 2020,66
North Dakota,May 27 2020,56
North Dakota,May 20 2020,49
North Dakota,May 13 2020,40
North Dakota,May  6 2020,31
North Dakota,Apr 29 2020,19
North Dakota,Apr 22 2020,14
North Dakota,Apr 15 2020,9
North Dakota,Apr  8 2020,4
North Dakota,Apr  1 2020,3
North Dakota,Mar 25 2020,0
North Dakota,Mar 18 2020,0
North Dakota,Mar 11 2020,0
North Dakota,Mar  4 2020,0
North Dakota,Feb 26 2020,0
North Dakota,Feb 19 2020,0
North Dakota,Feb 12 2020,0
North Dakota,Feb  5 2020,0
North Dakota,Jan 29 2020,0
