Data Table for Total Deaths - Nevada
Date generated: Mon Dec 05 2022 13:38:07 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Nevada,Nov 30 2022,11630
Nevada,Nov 23 2022,11624
Nevada,Nov 16 2022,11600
Nevada,Nov  9 2022,11580
Nevada,Nov  2 2022,11570
Nevada,Oct 26 2022,11555
Nevada,Oct 19 2022,11544
Nevada,Oct 12 2022,11531
Nevada,Oct  5 2022,11515
Nevada,Sep 28 2022,11501
Nevada,Sep 21 2022,11475
Nevada,Sep 14 2022,11430
Nevada,Sep  7 2022,11417
Nevada,Aug 31 2022,11400
Nevada,Aug 24 2022,11375
Nevada,Aug 17 2022,11353
Nevada,Aug 10 2022,11297
Nevada,Aug  3 2022,11257
Nevada,Jul 27 2022,11221
Nevada,Jul 20 2022,11189
Nevada,Jul 13 2022,11141
Nevada,Jul  6 2022,11074
Nevada,Jun 29 2022,11039
Nevada,Jun 22 2022,11006
Nevada,Jun 15 2022,10967
Nevada,Jun  8 2022,10935
Nevada,Jun  1 2022,10896
Nevada,May 25 2022,10872
Nevada,May 18 2022,10824
Nevada,May 11 2022,10797
Nevada,May  4 2022,10779
Nevada,Apr 27 2022,10751
Nevada,Apr 20 2022,10683
Nevada,Apr 13 2022,10501
Nevada,Apr  6 2022,10136
Nevada,Mar 30 2022,10091
Nevada,Mar 23 2022,10031
Nevada,Mar 16 2022,9948
Nevada,Mar  9 2022,9874
Nevada,Mar  2 2022,9752
Nevada,Feb 23 2022,9573
Nevada,Feb 16 2022,9445
Nevada,Feb  9 2022,9269
Nevada,Feb  2 2022,9049
Nevada,Jan 26 2022,8836
Nevada,Jan 19 2022,8687
Nevada,Jan 12 2022,8582
Nevada,Jan  5 2022,8487
Nevada,Dec 29 2021,8406
Nevada,Dec 22 2021,8353
Nevada,Dec 15 2021,8243
Nevada,Dec  8 2021,8145
Nevada,Dec  1 2021,8031
Nevada,Nov 24 2021,7971
Nevada,Nov 17 2021,7882
Nevada,Nov 10 2021,7795
Nevada,Nov  3 2021,7676
Nevada,Oct 27 2021,7599
Nevada,Oct 20 2021,7483
Nevada,Oct 13 2021,7366
Nevada,Oct  6 2021,7246
Nevada,Sep 29 2021,7107
Nevada,Sep 22 2021,6948
Nevada,Sep 15 2021,6789
Nevada,Sep  8 2021,6637
Nevada,Sep  1 2021,6538
Nevada,Aug 25 2021,6376
Nevada,Aug 18 2021,6248
Nevada,Aug 11 2021,6096
Nevada,Aug  4 2021,5953
Nevada,Jul 28 2021,5874
Nevada,Jul 21 2021,5789
Nevada,Jul 14 2021,5737
Nevada,Jul  7 2021,5705
Nevada,Jun 30 2021,5681
Nevada,Jun 23 2021,5654
Nevada,Jun 16 2021,5634
Nevada,Jun  9 2021,5616
Nevada,Jun  2 2021,5593
Nevada,May 26 2021,5570
Nevada,May 19 2021,5545
Nevada,May 12 2021,5515
Nevada,May  5 2021,5487
Nevada,Apr 28 2021,5448
Nevada,Apr 21 2021,5388
Nevada,Apr 14 2021,5352
Nevada,Apr  7 2021,5308
Nevada,Mar 31 2021,5249
Nevada,Mar 24 2021,5203
Nevada,Mar 17 2021,5147
Nevada,Mar 10 2021,5067
Nevada,Mar  3 2021,4987
Nevada,Feb 24 2021,4920
Nevada,Feb 17 2021,4773
Nevada,Feb 10 2021,4581
Nevada,Feb  3 2021,4373
Nevada,Jan 27 2021,4134
Nevada,Jan 20 2021,3863
Nevada,Jan 13 2021,3596
Nevada,Jan  6 2021,3295
Nevada,Dec 30 2020,3063
Nevada,Dec 23 2020,2870
Nevada,Dec 16 2020,2651
Nevada,Dec  9 2020,2384
Nevada,Dec  2 2020,2203
Nevada,Nov 25 2020,2071
Nevada,Nov 18 2020,1947
Nevada,Nov 11 2020,1877
Nevada,Nov  4 2020,1814
Nevada,Oct 28 2020,1766
Nevada,Oct 21 2020,1732
Nevada,Oct 14 2020,1691
Nevada,Oct  7 2020,1636
Nevada,Sep 30 2020,1600
Nevada,Sep 23 2020,1556
Nevada,Sep 16 2020,1494
Nevada,Sep  9 2020,1412
Nevada,Sep  2 2020,1336
Nevada,Aug 26 2020,1250
Nevada,Aug 19 2020,1134
Nevada,Aug 12 2020,996
Nevada,Aug  5 2020,890
Nevada,Jul 29 2020,780
Nevada,Jul 22 2020,704
Nevada,Jul 15 2020,618
Nevada,Jul  8 2020,553
Nevada,Jul  1 2020,511
Nevada,Jun 24 2020,494
Nevada,Jun 17 2020,473
Nevada,Jun 10 2020,449
Nevada,Jun  3 2020,431
Nevada,May 27 2020,402
Nevada,May 20 2020,377
Nevada,May 13 2020,331
Nevada,May  6 2020,289
Nevada,Apr 29 2020,230
Nevada,Apr 22 2020,171
Nevada,Apr 15 2020,131
Nevada,Apr  8 2020,72
Nevada,Apr  1 2020,31
Nevada,Mar 25 2020,6
Nevada,Mar 18 2020,1
Nevada,Mar 11 2020,0
Nevada,Mar  4 2020,0
Nevada,Feb 26 2020,0
Nevada,Feb 19 2020,0
Nevada,Feb 12 2020,0
Nevada,Feb  5 2020,0
Nevada,Jan 29 2020,0
