Data Table for Total Deaths - Maine
Date generated: Mon Dec 05 2022 12:41:50 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Maine,Nov 30 2022,2722
Maine,Nov 23 2022,2721
Maine,Nov 16 2022,2715
Maine,Nov  9 2022,2711
Maine,Nov  2 2022,2653
Maine,Oct 26 2022,2642
Maine,Oct 19 2022,2630
Maine,Oct 12 2022,2621
Maine,Oct  5 2022,2597
Maine,Sep 28 2022,2577
Maine,Sep 21 2022,2569
Maine,Sep 14 2022,2564
Maine,Sep  7 2022,2534
Maine,Aug 31 2022,2512
Maine,Aug 24 2022,2505
Maine,Aug 17 2022,2497
Maine,Aug 10 2022,2493
Maine,Aug  3 2022,2486
Maine,Jul 27 2022,2465
Maine,Jul 20 2022,2464
Maine,Jul 13 2022,2463
Maine,Jul  6 2022,2453
Maine,Jun 29 2022,2415
Maine,Jun 22 2022,2409
Maine,Jun 15 2022,2408
Maine,Jun  8 2022,2401
Maine,Jun  1 2022,2351
Maine,May 25 2022,2346
Maine,May 18 2022,2336
Maine,May 11 2022,2331
Maine,May  4 2022,2304
Maine,Apr 27 2022,2282
Maine,Apr 20 2022,2278
Maine,Apr 13 2022,2276
Maine,Apr  6 2022,2219
Maine,Mar 30 2022,2202
Maine,Mar 23 2022,2193
Maine,Mar 16 2022,2179
Maine,Mar  9 2022,2138
Maine,Mar  2 2022,2075
Maine,Feb 23 2022,1971
Maine,Feb 16 2022,1883
Maine,Feb  9 2022,1822
Maine,Feb  2 2022,1777
Maine,Jan 26 2022,1728
Maine,Jan 19 2022,1692
Maine,Jan 12 2022,1626
Maine,Jan  5 2022,1592
Maine,Dec 29 2021,1525
Maine,Dec 22 2021,1468
Maine,Dec 15 2021,1405
Maine,Dec  8 2021,1357
Maine,Dec  1 2021,1330
Maine,Nov 24 2021,1303
Maine,Nov 17 2021,1254
Maine,Nov 10 2021,1220
Maine,Nov  3 2021,1197
Maine,Oct 27 2021,1154
Maine,Oct 20 2021,1113
Maine,Oct 13 2021,1088
Maine,Oct  6 2021,1067
Maine,Sep 29 2021,1022
Maine,Sep 22 2021,1009
Maine,Sep 15 2021,979
Maine,Sep  8 2021,949
Maine,Sep  1 2021,937
Maine,Aug 25 2021,926
Maine,Aug 18 2021,921
Maine,Aug 11 2021,903
Maine,Aug  4 2021,900
Maine,Jul 28 2021,899
Maine,Jul 21 2021,891
Maine,Jul 14 2021,877
Maine,Jul  7 2021,860
Maine,Jun 30 2021,858
Maine,Jun 23 2021,854
Maine,Jun 16 2021,852
Maine,Jun  9 2021,842
Maine,Jun  2 2021,836
Maine,May 26 2021,825
Maine,May 19 2021,816
Maine,May 12 2021,798
Maine,May  5 2021,793
Maine,Apr 28 2021,781
Maine,Apr 21 2021,769
Maine,Apr 14 2021,758
Maine,Apr  7 2021,748
Maine,Mar 31 2021,743
Maine,Mar 24 2021,731
Maine,Mar 17 2021,727
Maine,Mar 10 2021,723
Maine,Mar  3 2021,704
Maine,Feb 24 2021,699
Maine,Feb 17 2021,655
Maine,Feb 10 2021,641
Maine,Feb  3 2021,629
Maine,Jan 27 2021,566
Maine,Jan 20 2021,535
Maine,Jan 13 2021,460
Maine,Jan  6 2021,384
Maine,Dec 30 2020,346
Maine,Dec 23 2020,316
Maine,Dec 16 2020,275
Maine,Dec  9 2020,245
Maine,Dec  2 2020,217
Maine,Nov 25 2020,189
Maine,Nov 18 2020,170
Maine,Nov 11 2020,158
Maine,Nov  4 2020,150
Maine,Oct 28 2020,146
Maine,Oct 21 2020,146
Maine,Oct 14 2020,143
Maine,Oct  7 2020,142
Maine,Sep 30 2020,141
Maine,Sep 23 2020,140
Maine,Sep 16 2020,138
Maine,Sep  9 2020,134
Maine,Sep  2 2020,133
Maine,Aug 26 2020,132
Maine,Aug 19 2020,127
Maine,Aug 12 2020,126
Maine,Aug  5 2020,124
Maine,Jul 29 2020,121
Maine,Jul 22 2020,118
Maine,Jul 15 2020,114
Maine,Jul  8 2020,110
Maine,Jul  1 2020,105
Maine,Jun 24 2020,103
Maine,Jun 17 2020,102
Maine,Jun 10 2020,100
Maine,Jun  3 2020,95
Maine,May 27 2020,81
Maine,May 20 2020,73
Maine,May 13 2020,66
Maine,May  6 2020,62
Maine,Apr 29 2020,52
Maine,Apr 22 2020,39
Maine,Apr 15 2020,24
Maine,Apr  8 2020,14
Maine,Apr  1 2020,5
Maine,Mar 25 2020,0
Maine,Mar 18 2020,0
Maine,Mar 11 2020,0
Maine,Mar  4 2020,0
Maine,Feb 26 2020,0
Maine,Feb 19 2020,0
Maine,Feb 12 2020,0
Maine,Feb  5 2020,0
Maine,Jan 29 2020,0
