Data Table for Weekly Case Trends - Nevada
Date generated: Mon Dec 05 2022 12:47:11 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Nevada,Nov 30 2022,2660,0
Nevada,Nov 23 2022,2209,0
Nevada,Nov 16 2022,2064,0
Nevada,Nov  9 2022,2773,0
Nevada,Nov  2 2022,1742,0
Nevada,Oct 26 2022,1660,0
Nevada,Oct 19 2022,1553,0
Nevada,Oct 12 2022,1130,0
Nevada,Oct  5 2022,1283,0
Nevada,Sep 28 2022,521,0
Nevada,Sep 21 2022,1628,0
Nevada,Sep 14 2022,9569,0
Nevada,Sep  7 2022,1654,0
Nevada,Aug 31 2022,1801,0
Nevada,Aug 24 2022,2546,0
Nevada,Aug 17 2022,2552,0
Nevada,Aug 10 2022,3488,0
Nevada,Aug  3 2022,4532,0
Nevada,Jul 27 2022,29371,0
Nevada,Jul 20 2022,7126,0
Nevada,Jul 13 2022,7702,0
Nevada,Jul  6 2022,8143,0
Nevada,Jun 29 2022,8122,0
Nevada,Jun 22 2022,7073,0
Nevada,Jun 15 2022,9129,0
Nevada,Jun  8 2022,6744,0
Nevada,Jun  1 2022,7182,0
Nevada,May 25 2022,6190,0
Nevada,May 18 2022,4365,0
Nevada,May 11 2022,3183,0
Nevada,May  4 2022,2431,0
Nevada,Apr 27 2022,1940,0
Nevada,Apr 20 2022,1234,0
Nevada,Apr 13 2022,1140,0
Nevada,Apr  6 2022,1212,0
Nevada,Mar 30 2022,1159,0
Nevada,Mar 23 2022,1147,0
Nevada,Mar 16 2022,23146,0
Nevada,Mar  9 2022,2297,0
Nevada,Mar  2 2022,5493,0
Nevada,Feb 23 2022,2176,0
Nevada,Feb 16 2022,4496,0
Nevada,Feb  9 2022,8869,0
Nevada,Feb  2 2022,21270,0
Nevada,Jan 26 2022,36833,0
Nevada,Jan 19 2022,64152,0
Nevada,Jan 12 2022,33742,0
Nevada,Jan  5 2022,20644,0
Nevada,Dec 29 2021,8960,0
Nevada,Dec 22 2021,5522,0
Nevada,Dec 15 2021,4360,0
Nevada,Dec  8 2021,4420,0
Nevada,Dec  1 2021,3342,0
Nevada,Nov 24 2021,4092,0
Nevada,Nov 17 2021,4349,0
Nevada,Nov 10 2021,4530,0
Nevada,Nov  3 2021,4303,0
Nevada,Oct 27 2021,4022,0
Nevada,Oct 20 2021,3952,0
Nevada,Oct 13 2021,4554,0
Nevada,Oct  6 2021,4809,0
Nevada,Sep 29 2021,5794,0
Nevada,Sep 22 2021,7106,0
Nevada,Sep 15 2021,8010,0
Nevada,Sep  8 2021,7175,0
Nevada,Sep  1 2021,7914,0
Nevada,Aug 25 2021,8051,0
Nevada,Aug 18 2021,7451,0
Nevada,Aug 11 2021,7478,0
Nevada,Aug  4 2021,7393,0
Nevada,Jul 28 2021,6645,0
Nevada,Jul 21 2021,5805,0
Nevada,Jul 14 2021,4731,0
Nevada,Jul  7 2021,2850,0
Nevada,Jun 30 2021,3350,0
Nevada,Jun 23 2021,2168,0
Nevada,Jun 16 2021,1603,0
Nevada,Jun  9 2021,1910,0
Nevada,Jun  2 2021,1432,0
Nevada,May 26 2021,1533,0
Nevada,May 19 2021,2002,0
Nevada,May 12 2021,2626,0
Nevada,May  5 2021,2613,0
Nevada,Apr 28 2021,2725,0
Nevada,Apr 21 2021,2600,0
Nevada,Apr 14 2021,3221,0
Nevada,Apr  7 2021,2167,0
Nevada,Mar 31 2021,2035,0
Nevada,Mar 24 2021,1609,0
Nevada,Mar 17 2021,2971,0
Nevada,Mar 10 2021,2463,0
Nevada,Mar  3 2021,2625,0
Nevada,Feb 24 2021,2667,0
Nevada,Feb 17 2021,3597,0
Nevada,Feb 10 2021,5088,0
Nevada,Feb  3 2021,6834,0
Nevada,Jan 27 2021,8730,0
Nevada,Jan 20 2021,11158,0
Nevada,Jan 13 2021,16592,0
Nevada,Jan  6 2021,14798,0
Nevada,Dec 30 2020,12633,0
Nevada,Dec 23 2020,15864,0
Nevada,Dec 16 2020,17816,0
Nevada,Dec  9 2020,19310,0
Nevada,Dec  2 2020,14733,0
Nevada,Nov 25 2020,16780,0
Nevada,Nov 18 2020,12048,0
Nevada,Nov 11 2020,9318,0
Nevada,Nov  4 2020,6614,0
Nevada,Oct 28 2020,5416,0
Nevada,Oct 21 2020,4750,0
Nevada,Oct 14 2020,3966,0
Nevada,Oct  7 2020,3367,0
Nevada,Sep 30 2020,3173,0
Nevada,Sep 23 2020,2559,0
Nevada,Sep 16 2020,1990,0
Nevada,Sep  9 2020,2387,0
Nevada,Sep  2 2020,3204,0
Nevada,Aug 26 2020,3639,0
Nevada,Aug 19 2020,4980,0
Nevada,Aug 12 2020,5220,0
Nevada,Aug  5 2020,7021,0
Nevada,Jul 29 2020,7150,0
Nevada,Jul 22 2020,8189,0
Nevada,Jul 15 2020,6167,0
Nevada,Jul  8 2020,5200,0
Nevada,Jul  1 2020,4741,0
Nevada,Jun 24 2020,2506,0
Nevada,Jun 17 2020,1638,0
Nevada,Jun 10 2020,1264,0
Nevada,Jun  3 2020,803,0
Nevada,May 27 2020,841,0
Nevada,May 20 2020,832,0
Nevada,May 13 2020,735,0
Nevada,May  6 2020,807,0
Nevada,Apr 29 2020,853,0
Nevada,Apr 22 2020,871,0
Nevada,Apr 15 2020,951,0
Nevada,Apr  8 2020,980,0
Nevada,Apr  1 2020,956,0
Nevada,Mar 25 2020,268,0
Nevada,Mar 18 2020,48,0
Nevada,Mar 11 2020,7,0
Nevada,Mar  4 2020,0,0
Nevada,Feb 26 2020,0,0
Nevada,Feb 19 2020,0,0
Nevada,Feb 12 2020,0,0
Nevada,Feb  5 2020,0,0
Nevada,Jan 29 2020,0,0
