Data Table for Total Cases - Maine
Date generated: Mon Dec 05 2022 12:41:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Maine,Nov 30 2022,301560
Maine,Nov 23 2022,300713
Maine,Nov 16 2022,300121
Maine,Nov  9 2022,299321
Maine,Nov  2 2022,298179
Maine,Oct 26 2022,296746
Maine,Oct 19 2022,295242
Maine,Oct 12 2022,293090
Maine,Oct  5 2022,291277
Maine,Sep 28 2022,289066
Maine,Sep 21 2022,287657
Maine,Sep 14 2022,286017
Maine,Sep  7 2022,284356
Maine,Aug 31 2022,283147
Maine,Aug 24 2022,281162
Maine,Aug 17 2022,279931
Maine,Aug 10 2022,278422
Maine,Aug  3 2022,277013
Maine,Jul 27 2022,275482
Maine,Jul 20 2022,274015
Maine,Jul 13 2022,272361
Maine,Jul  6 2022,271149
Maine,Jun 29 2022,269926
Maine,Jun 22 2022,268386
Maine,Jun 15 2022,267182
Maine,Jun  8 2022,265571
Maine,Jun  1 2022,263714
Maine,May 25 2022,261587
Maine,May 18 2022,257749
Maine,May 11 2022,253654
Maine,May  4 2022,248798
Maine,Apr 27 2022,243592
Maine,Apr 20 2022,241249
Maine,Apr 13 2022,239130
Maine,Apr  6 2022,237218
Maine,Mar 30 2022,235790
Maine,Mar 23 2022,234415
Maine,Mar 16 2022,233196
Maine,Mar  9 2022,231748
Maine,Mar  2 2022,229207
Maine,Feb 23 2022,222925
Maine,Feb 16 2022,206005
Maine,Feb  9 2022,184614
Maine,Feb  2 2022,178502
Maine,Jan 26 2022,171524
Maine,Jan 19 2022,164326
Maine,Jan 12 2022,158087
Maine,Jan  5 2022,150845
Maine,Dec 29 2021,145629
Maine,Dec 22 2021,139421
Maine,Dec 15 2021,134170
Maine,Dec  8 2021,126833
Maine,Dec  1 2021,121452
Maine,Nov 24 2021,118489
Maine,Nov 17 2021,114065
Maine,Nov 10 2021,110347
Maine,Nov  3 2021,106473
Maine,Oct 27 2021,102469
Maine,Oct 20 2021,99807
Maine,Oct 13 2021,96640
Maine,Oct  6 2021,93887
Maine,Sep 29 2021,89989
Maine,Sep 22 2021,85872
Maine,Sep 15 2021,82607
Maine,Sep  8 2021,79408
Maine,Sep  1 2021,76913
Maine,Aug 25 2021,74703
Maine,Aug 18 2021,73271
Maine,Aug 11 2021,72119
Maine,Aug  4 2021,70996
Maine,Jul 28 2021,70262
Maine,Jul 21 2021,69781
Maine,Jul 14 2021,69373
Maine,Jul  7 2021,69190
Maine,Jun 30 2021,69054
Maine,Jun 23 2021,68889
Maine,Jun 16 2021,68720
Maine,Jun  9 2021,68449
Maine,Jun  2 2021,67986
Maine,May 26 2021,67424
Maine,May 19 2021,66535
Maine,May 12 2021,65045
Maine,May  5 2021,63176
Maine,Apr 28 2021,60945
Maine,Apr 21 2021,58868
Maine,Apr 14 2021,55954
Maine,Apr  7 2021,52996
Maine,Mar 31 2021,50788
Maine,Mar 24 2021,49190
Maine,Mar 17 2021,47832
Maine,Mar 10 2021,46448
Maine,Mar  3 2021,45231
Maine,Feb 24 2021,44118
Maine,Feb 17 2021,43095
Maine,Feb 10 2021,42064
Maine,Feb  3 2021,40534
Maine,Jan 27 2021,38454
Maine,Jan 20 2021,35638
Maine,Jan 13 2021,31958
Maine,Jan  6 2021,27625
Maine,Dec 30 2020,24201
Maine,Dec 23 2020,21226
Maine,Dec 16 2020,17901
Maine,Dec  9 2020,14861
Maine,Dec  2 2020,12562
Maine,Nov 25 2020,11027
Maine,Nov 18 2020,9519
Maine,Nov 11 2020,8202
Maine,Nov  4 2020,7071
Maine,Oct 28 2020,6386
Maine,Oct 21 2020,6024
Maine,Oct 14 2020,5811
Maine,Oct  7 2020,5603
Maine,Sep 30 2020,5389
Maine,Sep 23 2020,5171
Maine,Sep 16 2020,4941
Maine,Sep  9 2020,4713
Maine,Sep  2 2020,4568
Maine,Aug 26 2020,4388
Maine,Aug 19 2020,4234
Maine,Aug 12 2020,4070
Maine,Aug  5 2020,3992
Maine,Jul 29 2020,3865
Maine,Jul 22 2020,3721
Maine,Jul 15 2020,3578
Maine,Jul  8 2020,3457
Maine,Jul  1 2020,3291
Maine,Jun 24 2020,3018
Maine,Jun 17 2020,2836
Maine,Jun 10 2020,2637
Maine,Jun  3 2020,2416
Maine,May 27 2020,2136
Maine,May 20 2020,1818
Maine,May 13 2020,1514
Maine,May  6 2020,1253
Maine,Apr 29 2020,1054
Maine,Apr 22 2020,906
Maine,Apr 15 2020,769
Maine,Apr  8 2020,537
Maine,Apr  1 2020,303
Maine,Mar 25 2020,142
Maine,Mar 18 2020,35
Maine,Mar 11 2020,0
Maine,Mar  4 2020,0
Maine,Feb 26 2020,0
Maine,Feb 19 2020,0
Maine,Feb 12 2020,0
Maine,Feb  5 2020,0
Maine,Jan 29 2020,0
