Data Table for Total Deaths - Maryland
Date generated: Mon Dec 05 2022 12:41:59 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Maryland,Nov 30 2022,15734
Maryland,Nov 23 2022,15690
Maryland,Nov 16 2022,15651
Maryland,Nov  9 2022,15603
Maryland,Nov  2 2022,15578
Maryland,Oct 26 2022,15531
Maryland,Oct 19 2022,15497
Maryland,Oct 12 2022,15455
Maryland,Oct  5 2022,15419
Maryland,Sep 28 2022,15386
Maryland,Sep 21 2022,15340
Maryland,Sep 14 2022,15285
Maryland,Sep  7 2022,15227
Maryland,Aug 31 2022,15188
Maryland,Aug 24 2022,15136
Maryland,Aug 17 2022,15093
Maryland,Aug 10 2022,15041
Maryland,Aug  3 2022,15006
Maryland,Jul 27 2022,14962
Maryland,Jul 20 2022,14897
Maryland,Jul 13 2022,14862
Maryland,Jul  6 2022,14826
Maryland,Jun 29 2022,14784
Maryland,Jun 22 2022,14752
Maryland,Jun 15 2022,14702
Maryland,Jun  8 2022,14654
Maryland,Jun  1 2022,14612
Maryland,May 25 2022,14580
Maryland,May 18 2022,14544
Maryland,May 11 2022,14509
Maryland,May  4 2022,14479
Maryland,Apr 27 2022,14440
Maryland,Apr 20 2022,14411
Maryland,Apr 13 2022,14391
Maryland,Apr  6 2022,14364
Maryland,Mar 30 2022,14344
Maryland,Mar 23 2022,14310
Maryland,Mar 16 2022,14280
Maryland,Mar  9 2022,14218
Maryland,Mar  2 2022,14147
Maryland,Feb 23 2022,14062
Maryland,Feb 16 2022,13965
Maryland,Feb  9 2022,13827
Maryland,Feb  2 2022,13572
Maryland,Jan 26 2022,13280
Maryland,Jan 19 2022,12866
Maryland,Jan 12 2022,12415
Maryland,Jan  5 2022,11993
Maryland,Dec 29 2021,11703
Maryland,Dec 22 2021,11255
Maryland,Dec 15 2021,11255
Maryland,Dec  8 2021,11255
Maryland,Dec  1 2021,11220
Maryland,Nov 24 2021,11148
Maryland,Nov 17 2021,11086
Maryland,Nov 10 2021,11014
Maryland,Nov  3 2021,10925
Maryland,Oct 27 2021,10841
Maryland,Oct 20 2021,10758
Maryland,Oct 13 2021,10644
Maryland,Oct  6 2021,10535
Maryland,Sep 29 2021,10426
Maryland,Sep 22 2021,10332
Maryland,Sep 15 2021,10217
Maryland,Sep  8 2021,10115
Maryland,Sep  1 2021,10024
Maryland,Aug 25 2021,9966
Maryland,Aug 18 2021,9907
Maryland,Aug 11 2021,9870
Maryland,Aug  4 2021,9840
Maryland,Jul 28 2021,9813
Maryland,Jul 21 2021,9792
Maryland,Jul 14 2021,9769
Maryland,Jul  7 2021,9754
Maryland,Jun 30 2021,9741
Maryland,Jun 23 2021,9722
Maryland,Jun 16 2021,9695
Maryland,Jun  9 2021,9658
Maryland,Jun  2 2021,9622
Maryland,May 26 2021,9037
Maryland,May 19 2021,8957
Maryland,May 12 2021,8879
Maryland,May  5 2021,8813
Maryland,Apr 28 2021,8709
Maryland,Apr 21 2021,8605
Maryland,Apr 14 2021,8493
Maryland,Apr  7 2021,8389
Maryland,Mar 31 2021,8286
Maryland,Mar 24 2021,8214
Maryland,Mar 17 2021,8099
Maryland,Mar 10 2021,8002
Maryland,Mar  3 2021,7918
Maryland,Feb 24 2021,7789
Maryland,Feb 17 2021,7631
Maryland,Feb 10 2021,7445
Maryland,Feb  3 2021,7220
Maryland,Jan 27 2021,6996
Maryland,Jan 20 2021,6690
Maryland,Jan 13 2021,6403
Maryland,Jan  6 2021,6132
Maryland,Dec 30 2020,5850
Maryland,Dec 23 2020,5568
Maryland,Dec 16 2020,5270
Maryland,Dec  9 2020,4962
Maryland,Dec  2 2020,4717
Maryland,Nov 25 2020,4518
Maryland,Nov 18 2020,4350
Maryland,Nov 11 2020,4248
Maryland,Nov  4 2020,4170
Maryland,Oct 28 2020,4115
Maryland,Oct 21 2020,4058
Maryland,Oct 14 2020,4022
Maryland,Oct  7 2020,3974
Maryland,Sep 30 2020,3948
Maryland,Sep 23 2020,3901
Maryland,Sep 16 2020,3855
Maryland,Sep  9 2020,3816
Maryland,Sep  2 2020,3768
Maryland,Aug 26 2020,3716
Maryland,Aug 19 2020,3661
Maryland,Aug 12 2020,3612
Maryland,Aug  5 2020,3536
Maryland,Jul 29 2020,3477
Maryland,Jul 22 2020,3403
Maryland,Jul 15 2020,3339
Maryland,Jul  8 2020,3276
Maryland,Jul  1 2020,3205
Maryland,Jun 24 2020,3107
Maryland,Jun 17 2020,2993
Maryland,Jun 10 2020,2845
Maryland,Jun  3 2020,2640
Maryland,May 27 2020,2392
Maryland,May 20 2020,2123
Maryland,May 13 2020,1808
Maryland,May  6 2020,1437
Maryland,Apr 29 2020,1077
Maryland,Apr 22 2020,699
Maryland,Apr 15 2020,306
Maryland,Apr  8 2020,124
Maryland,Apr  1 2020,31
Maryland,Mar 25 2020,4
Maryland,Mar 18 2020,0
Maryland,Mar 11 2020,0
Maryland,Mar  4 2020,0
Maryland,Feb 26 2020,0
Maryland,Feb 19 2020,0
Maryland,Feb 12 2020,0
Maryland,Feb  5 2020,0
Maryland,Jan 29 2020,0
