Data Table for Weekly Death Trends - Kansas
Date generated: Mon Dec 05 2022 12:40:56 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Kansas,Nov 30 2022,22,0
Kansas,Nov 23 2022,5,0
Kansas,Nov 16 2022,26,0
Kansas,Nov  9 2022,6,0
Kansas,Nov  2 2022,12,1
Kansas,Oct 26 2022,6,0
Kansas,Oct 19 2022,11,0
Kansas,Oct 12 2022,17,0
Kansas,Oct  5 2022,19,0
Kansas,Sep 28 2022,7,469
Kansas,Sep 21 2022,9,0
Kansas,Sep 14 2022,42,0
Kansas,Sep  7 2022,16,0
Kansas,Aug 31 2022,59,0
Kansas,Aug 24 2022,12,0
Kansas,Aug 17 2022,8,0
Kansas,Aug 10 2022,6,0
Kansas,Aug  3 2022,0,0
Kansas,Jul 27 2022,2,0
Kansas,Jul 20 2022,8,0
Kansas,Jul 13 2022,3,0
Kansas,Jul  6 2022,5,0
Kansas,Jun 29 2022,9,0
Kansas,Jun 22 2022,7,0
Kansas,Jun 15 2022,1,0
Kansas,Jun  8 2022,3,0
Kansas,Jun  1 2022,5,0
Kansas,May 25 2022,95,0
Kansas,May 18 2022,105,0
Kansas,May 11 2022,55,0
Kansas,May  4 2022,40,0
Kansas,Apr 27 2022,72,0
Kansas,Apr 20 2022,59,0
Kansas,Apr 13 2022,105,0
Kansas,Apr  6 2022,102,0
Kansas,Mar 30 2022,95,0
Kansas,Mar 23 2022,107,0
Kansas,Mar 16 2022,94,0
Kansas,Mar  9 2022,26,0
Kansas,Mar  2 2022,45,0
Kansas,Feb 23 2022,39,0
Kansas,Feb 16 2022,166,0
Kansas,Feb  9 2022,145,0
Kansas,Feb  2 2022,179,0
Kansas,Jan 26 2022,99,0
Kansas,Jan 19 2022,170,0
Kansas,Jan 12 2022,55,0
Kansas,Jan  5 2022,57,0
Kansas,Dec 29 2021,49,0
Kansas,Dec 22 2021,53,0
Kansas,Dec 15 2021,92,0
Kansas,Dec  8 2021,27,0
Kansas,Dec  1 2021,96,0
Kansas,Nov 24 2021,53,0
Kansas,Nov 17 2021,24,0
Kansas,Nov 10 2021,151,0
Kansas,Nov  3 2021,96,0
Kansas,Oct 27 2021,162,0
Kansas,Oct 20 2021,30,0
Kansas,Oct 13 2021,44,0
Kansas,Oct  6 2021,57,0
Kansas,Sep 29 2021,120,0
Kansas,Sep 22 2021,122,0
Kansas,Sep 15 2021,107,0
Kansas,Sep  8 2021,113,0
Kansas,Sep  1 2021,46,0
Kansas,Aug 25 2021,81,0
Kansas,Aug 18 2021,93,0
Kansas,Aug 11 2021,98,0
Kansas,Aug  4 2021,19,0
Kansas,Jul 28 2021,49,0
Kansas,Jul 21 2021,10,0
Kansas,Jul 14 2021,22,0
Kansas,Jul  7 2021,12,0
Kansas,Jun 30 2021,17,0
Kansas,Jun 23 2021,15,0
Kansas,Jun 16 2021,22,0
Kansas,Jun  9 2021,23,0
Kansas,Jun  2 2021,17,0
Kansas,May 26 2021,9,0
Kansas,May 19 2021,23,0
Kansas,May 12 2021,32,0
Kansas,May  5 2021,20,0
Kansas,Apr 28 2021,26,0
Kansas,Apr 21 2021,21,0
Kansas,Apr 14 2021,19,0
Kansas,Apr  7 2021,20,0
Kansas,Mar 31 2021,26,0
Kansas,Mar 24 2021,46,0
Kansas,Mar 17 2021,34,0
Kansas,Mar 10 2021,29,0
Kansas,Mar  3 2021,69,0
Kansas,Feb 24 2021,175,0
Kansas,Feb 17 2021,209,0
Kansas,Feb 10 2021,390,0
Kansas,Feb  3 2021,175,0
Kansas,Jan 27 2021,147,0
Kansas,Jan 20 2021,210,0
Kansas,Jan 13 2021,362,0
Kansas,Jan  6 2021,275,0
Kansas,Dec 30 2020,237,0
Kansas,Dec 23 2020,248,0
Kansas,Dec 16 2020,305,0
Kansas,Dec  9 2020,264,0
Kansas,Dec  2 2020,177,0
Kansas,Nov 25 2020,176,0
Kansas,Nov 18 2020,112,0
Kansas,Nov 11 2020,128,0
Kansas,Nov  4 2020,80,0
Kansas,Oct 28 2020,54,0
Kansas,Oct 21 2020,115,0
Kansas,Oct 14 2020,115,0
Kansas,Oct  7 2020,45,0
Kansas,Sep 30 2020,58,0
Kansas,Sep 23 2020,35,0
Kansas,Sep 16 2020,88,0
Kansas,Sep  9 2020,38,0
Kansas,Sep  2 2020,19,0
Kansas,Aug 26 2020,27,0
Kansas,Aug 19 2020,19,0
Kansas,Aug 12 2020,25,0
Kansas,Aug  5 2020,23,0
Kansas,Jul 29 2020,30,0
Kansas,Jul 22 2020,15,0
Kansas,Jul 15 2020,15,0
Kansas,Jul  8 2020,11,0
Kansas,Jul  1 2020,16,0
Kansas,Jun 24 2020,14,0
Kansas,Jun 17 2020,8,0
Kansas,Jun 10 2020,13,0
Kansas,Jun  3 2020,13,0
Kansas,May 27 2020,11,0
Kansas,May 20 2020,14,0
Kansas,May 13 2020,24,0
Kansas,May  6 2020,30,0
Kansas,Apr 29 2020,22,0
Kansas,Apr 22 2020,35,0
Kansas,Apr 15 2020,41,0
Kansas,Apr  8 2020,26,0
Kansas,Apr  1 2020,7,0
Kansas,Mar 25 2020,2,0
Kansas,Mar 18 2020,1,0
Kansas,Mar 11 2020,0,0
Kansas,Mar  4 2020,0,0
Kansas,Feb 26 2020,0,0
Kansas,Feb 19 2020,0,0
Kansas,Feb 12 2020,0,0
Kansas,Feb  5 2020,0,0
Kansas,Jan 29 2020,0,0
