Data Table for Total Cases - Kansas
Date generated: Mon Dec 05 2022 12:40:49 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Kansas,Nov 30 2022,902126
Kansas,Nov 23 2022,898697
Kansas,Nov 16 2022,895775
Kansas,Nov  9 2022,893300
Kansas,Nov  2 2022,890598
Kansas,Oct 26 2022,888210
Kansas,Oct 19 2022,886123
Kansas,Oct 12 2022,883482
Kansas,Oct  5 2022,880633
Kansas,Sep 28 2022,879001
Kansas,Sep 21 2022,876221
Kansas,Sep 14 2022,873513
Kansas,Sep  7 2022,869254
Kansas,Aug 31 2022,864853
Kansas,Aug 24 2022,859119
Kansas,Aug 17 2022,854085
Kansas,Aug 10 2022,848557
Kansas,Aug  3 2022,842217
Kansas,Jul 27 2022,835485
Kansas,Jul 20 2022,827994
Kansas,Jul 13 2022,820366
Kansas,Jul  6 2022,812999
Kansas,Jun 29 2022,807619
Kansas,Jun 22 2022,802597
Kansas,Jun 15 2022,798451
Kansas,Jun  8 2022,794513
Kansas,Jun  1 2022,789859
Kansas,May 25 2022,786484
Kansas,May 18 2022,783489
Kansas,May 11 2022,778931
Kansas,May  4 2022,776732
Kansas,Apr 27 2022,774745
Kansas,Apr 20 2022,772593
Kansas,Apr 13 2022,771570
Kansas,Apr  6 2022,770915
Kansas,Mar 30 2022,770704
Kansas,Mar 23 2022,770216
Kansas,Mar 16 2022,769681
Kansas,Mar  9 2022,768843
Kansas,Mar  2 2022,767479
Kansas,Feb 23 2022,764906
Kansas,Feb 16 2022,761423
Kansas,Feb  9 2022,749658
Kansas,Feb  2 2022,739631
Kansas,Jan 26 2022,710326
Kansas,Jan 19 2022,660458
Kansas,Jan 12 2022,581874
Kansas,Jan  5 2022,550176
Kansas,Dec 29 2021,520316
Kansas,Dec 22 2021,506359
Kansas,Dec 15 2021,494223
Kansas,Dec  8 2021,483059
Kansas,Dec  1 2021,470545
Kansas,Nov 24 2021,461899
Kansas,Nov 17 2021,453700
Kansas,Nov 10 2021,445858
Kansas,Nov  3 2021,439057
Kansas,Oct 27 2021,433622
Kansas,Oct 20 2021,427757
Kansas,Oct 13 2021,422241
Kansas,Oct  6 2021,416319
Kansas,Sep 29 2021,409753
Kansas,Sep 22 2021,402810
Kansas,Sep 15 2021,394611
Kansas,Sep  8 2021,383795
Kansas,Sep  1 2021,374120
Kansas,Aug 25 2021,363319
Kansas,Aug 18 2021,353389
Kansas,Aug 11 2021,345909
Kansas,Aug  4 2021,334119
Kansas,Jul 28 2021,329877
Kansas,Jul 21 2021,325191
Kansas,Jul 14 2021,322170
Kansas,Jul  7 2021,320555
Kansas,Jun 30 2021,319080
Kansas,Jun 23 2021,318035
Kansas,Jun 16 2021,317266
Kansas,Jun  9 2021,316505
Kansas,Jun  2 2021,315628
Kansas,May 26 2021,314966
Kansas,May 19 2021,313924
Kansas,May 12 2021,312711
Kansas,May  5 2021,311490
Kansas,Apr 28 2021,309932
Kansas,Apr 21 2021,308329
Kansas,Apr 14 2021,306826
Kansas,Apr  7 2021,305273
Kansas,Mar 31 2021,303883
Kansas,Mar 24 2021,302469
Kansas,Mar 17 2021,301049
Kansas,Mar 10 2021,299504
Kansas,Mar  3 2021,297419
Kansas,Feb 24 2021,295184
Kansas,Feb 17 2021,291088
Kansas,Feb 10 2021,287204
Kansas,Feb  3 2021,281318
Kansas,Jan 27 2021,274745
Kansas,Jan 20 2021,265387
Kansas,Jan 13 2021,254109
Kansas,Jan  6 2021,239197
Kansas,Dec 30 2020,224963
Kansas,Dec 23 2020,212525
Kansas,Dec 16 2020,197419
Kansas,Dec  9 2020,182331
Kansas,Dec  2 2020,164551
Kansas,Nov 25 2020,149957
Kansas,Nov 18 2020,130598
Kansas,Nov 11 2020,110840
Kansas,Nov  4 2020,93759
Kansas,Oct 28 2020,83535
Kansas,Oct 21 2020,76310
Kansas,Oct 14 2020,70692
Kansas,Oct  7 2020,65274
Kansas,Sep 30 2020,61058
Kansas,Sep 23 2020,56530
Kansas,Sep 16 2020,50672
Kansas,Sep  9 2020,47385
Kansas,Sep  2 2020,43819
Kansas,Aug 26 2020,39855
Kansas,Aug 19 2020,35402
Kansas,Aug 12 2020,32083
Kansas,Aug  5 2020,29247
Kansas,Jul 29 2020,26579
Kansas,Jul 22 2020,23479
Kansas,Jul 15 2020,20346
Kansas,Jul  8 2020,17331
Kansas,Jul  1 2020,14831
Kansas,Jun 24 2020,12929
Kansas,Jun 17 2020,11645
Kansas,Jun 10 2020,10750
Kansas,Jun  3 2020,10088
Kansas,May 27 2020,9289
Kansas,May 20 2020,8508
Kansas,May 13 2020,7519
Kansas,May  6 2020,5993
Kansas,Apr 29 2020,3835
Kansas,Apr 22 2020,2331
Kansas,Apr 15 2020,1502
Kansas,Apr  8 2020,1047
Kansas,Apr  1 2020,486
Kansas,Mar 25 2020,134
Kansas,Mar 18 2020,21
Kansas,Mar 11 2020,1
Kansas,Mar  4 2020,0
Kansas,Feb 26 2020,0
Kansas,Feb 19 2020,0
Kansas,Feb 12 2020,0
Kansas,Feb  5 2020,0
Kansas,Jan 29 2020,0
