Data Table for Total Deaths - Alaska
Date generated: Mon Dec 05 2022 13:35:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Alaska,Nov 30 2022,1399
Alaska,Nov 23 2022,1399
Alaska,Nov 16 2022,1399
Alaska,Nov  9 2022,1376
Alaska,Nov  2 2022,1376
Alaska,Oct 26 2022,1376
Alaska,Oct 19 2022,1356
Alaska,Oct 12 2022,1356
Alaska,Oct  5 2022,1356
Alaska,Sep 28 2022,1329
Alaska,Sep 21 2022,1329
Alaska,Sep 14 2022,1329
Alaska,Sep  7 2022,1304
Alaska,Aug 31 2022,1304
Alaska,Aug 24 2022,1304
Alaska,Aug 17 2022,1296
Alaska,Aug 10 2022,1296
Alaska,Aug  3 2022,1275
Alaska,Jul 27 2022,1275
Alaska,Jul 20 2022,1275
Alaska,Jul 13 2022,1275
Alaska,Jul  6 2022,1270
Alaska,Jun 29 2022,1270
Alaska,Jun 22 2022,1270
Alaska,Jun 15 2022,1270
Alaska,Jun  8 2022,1270
Alaska,Jun  1 2022,1270
Alaska,May 25 2022,1270
Alaska,May 18 2022,1270
Alaska,May 11 2022,1259
Alaska,May  4 2022,1248
Alaska,Apr 27 2022,1247
Alaska,Apr 20 2022,1243
Alaska,Apr 13 2022,1230
Alaska,Apr  6 2022,1224
Alaska,Mar 30 2022,1224
Alaska,Mar 23 2022,1215
Alaska,Mar 16 2022,1198
Alaska,Mar  9 2022,1197
Alaska,Mar  2 2022,1187
Alaska,Feb 23 2022,1159
Alaska,Feb 16 2022,1137
Alaska,Feb  9 2022,1110
Alaska,Feb  2 2022,1089
Alaska,Jan 26 2022,1077
Alaska,Jan 19 2022,1047
Alaska,Jan 12 2022,981
Alaska,Jan  5 2022,975
Alaska,Dec 29 2021,974
Alaska,Dec 22 2021,972
Alaska,Dec 15 2021,885
Alaska,Dec  8 2021,882
Alaska,Dec  1 2021,877
Alaska,Nov 24 2021,866
Alaska,Nov 17 2021,838
Alaska,Nov 10 2021,827
Alaska,Nov  3 2021,733
Alaska,Oct 27 2021,712
Alaska,Oct 20 2021,687
Alaska,Oct 13 2021,608
Alaska,Oct  6 2021,581
Alaska,Sep 29 2021,563
Alaska,Sep 22 2021,478
Alaska,Sep 15 2021,465
Alaska,Sep  8 2021,453
Alaska,Sep  1 2021,445
Alaska,Aug 25 2021,435
Alaska,Aug 18 2021,409
Alaska,Aug 11 2021,397
Alaska,Aug  4 2021,390
Alaska,Jul 28 2021,383
Alaska,Jul 21 2021,379
Alaska,Jul 14 2021,378
Alaska,Jul  7 2021,374
Alaska,Jun 30 2021,374
Alaska,Jun 23 2021,371
Alaska,Jun 16 2021,370
Alaska,Jun  9 2021,366
Alaska,Jun  2 2021,366
Alaska,May 26 2021,366
Alaska,May 19 2021,366
Alaska,May 12 2021,350
Alaska,May  5 2021,345
Alaska,Apr 28 2021,344
Alaska,Apr 21 2021,332
Alaska,Apr 14 2021,312
Alaska,Apr  7 2021,311
Alaska,Mar 31 2021,311
Alaska,Mar 24 2021,310
Alaska,Mar 17 2021,305
Alaska,Mar 10 2021,303
Alaska,Mar  3 2021,301
Alaska,Feb 24 2021,289
Alaska,Feb 17 2021,288
Alaska,Feb 10 2021,280
Alaska,Feb  3 2021,279
Alaska,Jan 27 2021,261
Alaska,Jan 20 2021,253
Alaska,Jan 13 2021,226
Alaska,Jan  6 2021,220
Alaska,Dec 30 2020,203
Alaska,Dec 23 2020,196
Alaska,Dec 16 2020,180
Alaska,Dec  9 2020,150
Alaska,Dec  2 2020,123
Alaska,Nov 25 2020,118
Alaska,Nov 18 2020,102
Alaska,Nov 11 2020,98
Alaska,Nov  4 2020,86
Alaska,Oct 28 2020,71
Alaska,Oct 21 2020,68
Alaska,Oct 14 2020,64
Alaska,Oct  7 2020,59
Alaska,Sep 30 2020,55
Alaska,Sep 23 2020,44
Alaska,Sep 16 2020,43
Alaska,Sep  9 2020,41
Alaska,Sep  2 2020,38
Alaska,Aug 26 2020,36
Alaska,Aug 19 2020,29
Alaska,Aug 12 2020,27
Alaska,Aug  5 2020,25
Alaska,Jul 29 2020,21
Alaska,Jul 22 2020,18
Alaska,Jul 15 2020,16
Alaska,Jul  8 2020,16
Alaska,Jul  1 2020,13
Alaska,Jun 24 2020,12
Alaska,Jun 17 2020,12
Alaska,Jun 10 2020,11
Alaska,Jun  3 2020,10
Alaska,May 27 2020,10
Alaska,May 20 2020,10
Alaska,May 13 2020,10
Alaska,May  6 2020,10
Alaska,Apr 29 2020,9
Alaska,Apr 22 2020,9
Alaska,Apr 15 2020,9
Alaska,Apr  8 2020,7
Alaska,Apr  1 2020,3
Alaska,Mar 25 2020,1
Alaska,Mar 18 2020,0
Alaska,Mar 11 2020,0
Alaska,Mar  4 2020,0
Alaska,Feb 26 2020,0
Alaska,Feb 19 2020,0
Alaska,Feb 12 2020,0
Alaska,Feb  5 2020,0
Alaska,Jan 29 2020,0
