Data Table for Weekly Death Trends - Alaska
Date generated: Mon Dec 05 2022 12:35:14 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Alaska,Nov 30 2022,0,0
Alaska,Nov 23 2022,0,0
Alaska,Nov 16 2022,23,0
Alaska,Nov  9 2022,0,0
Alaska,Nov  2 2022,0,0
Alaska,Oct 26 2022,20,0
Alaska,Oct 19 2022,0,0
Alaska,Oct 12 2022,0,0
Alaska,Oct  5 2022,27,0
Alaska,Sep 28 2022,0,0
Alaska,Sep 21 2022,0,0
Alaska,Sep 14 2022,25,0
Alaska,Sep  7 2022,0,0
Alaska,Aug 31 2022,0,0
Alaska,Aug 24 2022,8,0
Alaska,Aug 17 2022,0,0
Alaska,Aug 10 2022,21,0
Alaska,Aug  3 2022,0,0
Alaska,Jul 27 2022,0,0
Alaska,Jul 20 2022,0,0
Alaska,Jul 13 2022,5,0
Alaska,Jul  6 2022,0,0
Alaska,Jun 29 2022,0,0
Alaska,Jun 22 2022,0,0
Alaska,Jun 15 2022,0,0
Alaska,Jun  8 2022,0,0
Alaska,Jun  1 2022,0,0
Alaska,May 25 2022,0,0
Alaska,May 18 2022,11,0
Alaska,May 11 2022,11,0
Alaska,May  4 2022,1,0
Alaska,Apr 27 2022,4,0
Alaska,Apr 20 2022,13,0
Alaska,Apr 13 2022,6,0
Alaska,Apr  6 2022,0,0
Alaska,Mar 30 2022,9,0
Alaska,Mar 23 2022,17,0
Alaska,Mar 16 2022,1,0
Alaska,Mar  9 2022,10,0
Alaska,Mar  2 2022,28,0
Alaska,Feb 23 2022,22,0
Alaska,Feb 16 2022,27,0
Alaska,Feb  9 2022,21,0
Alaska,Feb  2 2022,12,0
Alaska,Jan 26 2022,30,0
Alaska,Jan 19 2022,66,0
Alaska,Jan 12 2022,6,0
Alaska,Jan  5 2022,1,0
Alaska,Dec 29 2021,2,0
Alaska,Dec 22 2021,87,0
Alaska,Dec 15 2021,3,0
Alaska,Dec  8 2021,5,0
Alaska,Dec  1 2021,11,0
Alaska,Nov 24 2021,28,0
Alaska,Nov 17 2021,11,0
Alaska,Nov 10 2021,94,0
Alaska,Nov  3 2021,21,0
Alaska,Oct 27 2021,25,0
Alaska,Oct 20 2021,79,0
Alaska,Oct 13 2021,27,0
Alaska,Oct  6 2021,18,0
Alaska,Sep 29 2021,85,0
Alaska,Sep 22 2021,13,0
Alaska,Sep 15 2021,12,0
Alaska,Sep  8 2021,8,0
Alaska,Sep  1 2021,10,0
Alaska,Aug 25 2021,26,0
Alaska,Aug 18 2021,12,0
Alaska,Aug 11 2021,7,0
Alaska,Aug  4 2021,7,0
Alaska,Jul 28 2021,4,0
Alaska,Jul 21 2021,1,0
Alaska,Jul 14 2021,4,0
Alaska,Jul  7 2021,0,0
Alaska,Jun 30 2021,3,0
Alaska,Jun 23 2021,1,0
Alaska,Jun 16 2021,4,0
Alaska,Jun  9 2021,0,0
Alaska,Jun  2 2021,0,0
Alaska,May 26 2021,0,0
Alaska,May 19 2021,16,0
Alaska,May 12 2021,5,0
Alaska,May  5 2021,1,0
Alaska,Apr 28 2021,12,0
Alaska,Apr 21 2021,20,0
Alaska,Apr 14 2021,1,0
Alaska,Apr  7 2021,0,0
Alaska,Mar 31 2021,1,0
Alaska,Mar 24 2021,5,0
Alaska,Mar 17 2021,2,0
Alaska,Mar 10 2021,2,0
Alaska,Mar  3 2021,12,0
Alaska,Feb 24 2021,1,0
Alaska,Feb 17 2021,8,0
Alaska,Feb 10 2021,1,0
Alaska,Feb  3 2021,18,0
Alaska,Jan 27 2021,8,0
Alaska,Jan 20 2021,27,0
Alaska,Jan 13 2021,6,0
Alaska,Jan  6 2021,17,0
Alaska,Dec 30 2020,7,0
Alaska,Dec 23 2020,16,0
Alaska,Dec 16 2020,30,0
Alaska,Dec  9 2020,27,0
Alaska,Dec  2 2020,5,0
Alaska,Nov 25 2020,16,0
Alaska,Nov 18 2020,4,0
Alaska,Nov 11 2020,12,0
Alaska,Nov  4 2020,15,0
Alaska,Oct 28 2020,3,0
Alaska,Oct 21 2020,4,0
Alaska,Oct 14 2020,5,0
Alaska,Oct  7 2020,4,0
Alaska,Sep 30 2020,11,0
Alaska,Sep 23 2020,1,0
Alaska,Sep 16 2020,2,0
Alaska,Sep  9 2020,3,0
Alaska,Sep  2 2020,2,0
Alaska,Aug 26 2020,7,0
Alaska,Aug 19 2020,2,0
Alaska,Aug 12 2020,2,0
Alaska,Aug  5 2020,4,0
Alaska,Jul 29 2020,3,0
Alaska,Jul 22 2020,2,0
Alaska,Jul 15 2020,0,0
Alaska,Jul  8 2020,3,0
Alaska,Jul  1 2020,1,0
Alaska,Jun 24 2020,0,0
Alaska,Jun 17 2020,1,0
Alaska,Jun 10 2020,1,0
Alaska,Jun  3 2020,0,0
Alaska,May 27 2020,0,0
Alaska,May 20 2020,0,0
Alaska,May 13 2020,0,0
Alaska,May  6 2020,1,0
Alaska,Apr 29 2020,0,0
Alaska,Apr 22 2020,0,0
Alaska,Apr 15 2020,2,0
Alaska,Apr  8 2020,4,0
Alaska,Apr  1 2020,2,0
Alaska,Mar 25 2020,1,0
Alaska,Mar 18 2020,0,0
Alaska,Mar 11 2020,0,0
Alaska,Mar  4 2020,0,0
Alaska,Feb 26 2020,0,0
Alaska,Feb 19 2020,0,0
Alaska,Feb 12 2020,0,0
Alaska,Feb  5 2020,0,0
Alaska,Jan 29 2020,0,0
